model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,split,quantum_route_train_ratio,tau_threshold
RF,25000,iid,0.48694815059781843,0.9672727272727273,0.7312297575817057,0.5116279069767442,0.4782608695652174,0.4943820224719101,0.4777809015937304,0.400976100000662,0.044419200000447745,0.03230487272759836,0.8635129387901986,0.4058728054757833,1308,21,24,22,iid,,
XGB,25000,iid,0.8739299608182304,0.9716363636363636,0.7020070664442045,0.6129032258064516,0.41304347826086957,0.4935064935064935,0.489392695052243,0.38991060000080324,0.003501199999845994,0.0025463272726152686,0.8698024012824287,0.4851002646357369,1317,12,27,19,iid,,
HQD-Net(tau=0.80),25000,iid,0.8739299608182304,0.968,0.6371658978637093,0.5416666666666666,0.2826086956521739,0.37142857142857144,0.3766901440975967,0.5869561999998041,0.005933500000537606,0.004315272727663713,0.850565969836752,0.3919952926469163,1318,11,33,13,iid,0.2000363702491362,0.17472033181486546
RF,25000,temporal,0.6086900892342493,0.9607272727272728,0.5,0.0,0.0,0.0,0.0,0.44256009999935486,0.033250600000428676,0.02418225454576631,0.6795847702357922,0.13922569683407357,1321,0,54,0,temporal,,
XGB,25000,temporal,0.870796978986716,0.9614545454545455,0.5092592592592593,1.0,0.018518518518518517,0.03636363636363636,0.13343235850493115,0.39243249999981344,0.0034366999998383108,0.0024994181817005897,0.7491168306838254,0.12446683384868688,1321,0,53,1,temporal,,
HQD-Net(tau=0.80),25000,temporal,0.870796978986716,0.9607272727272728,0.5,0.0,0.0,0.0,0.0,0.5855987000004461,0.005909700000302109,0.004297963636583352,0.6754212577452547,0.09108172077413601,1321,0,54,0,temporal,0.2000363702491362,0.16535872126813564
