model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,tau_threshold
XGB,10000,iid,0.8739299608182304,0.9716363636363636,0.7020070664442045,0.6129032258064516,0.41304347826086957,0.4935064935064935,0.489392695052243,0.7123555999996825,0.0051226000005044625,0.0037255272730941542,0.8698024012824287,0.4851002646357369,1317,12,27,19,,
LGBM,10000,iid,0.9330227774306078,0.9709090909090909,0.6281774462655805,0.6666666666666666,0.2608695652173913,0.375,0.40556161172112987,2.6671479999995427,0.00873559999945428,0.006353163635966749,0.8771142081329538,0.45553677844636986,1323,6,34,12,,
HQD-Net(tau=0.80),10000,iid,0.8739299608182304,0.968,0.6371658978637093,0.5416666666666666,0.2826086956521739,0.37142857142857144,0.3766901440975967,1.090695400000186,0.010832399999344489,0.007878109090432356,0.850565969836752,0.3919952926469163,1318,11,33,13,0.2000363702491362,0.17472033181486546
LR,20000,iid,0.7989191180131178,0.936,0.6730788104818922,0.23076923076923078,0.391304347826087,0.2903225806451613,0.26909028233109983,0.09939469999972061,0.0036092999998800224,0.002624945454458198,0.8127555860895737,0.20726504367702853,1269,60,28,18,,
RF,20000,iid,0.48694815059781843,0.9672727272727273,0.7312297575817057,0.5116279069767442,0.4782608695652174,0.4943820224719101,0.4777809015937304,0.7190967999995337,0.09157830000003742,0.0666024000000272,0.8635129387901986,0.4058728054757833,1308,21,24,22,,
HGB,20000,iid,0.51473448231697,0.9738181818181818,0.6506690221480682,0.7777777777777778,0.30434782608695654,0.4375,0.4767263917257947,4.4910712000000785,0.04350780000004306,0.03164203636366768,0.8758301436189355,0.4868299315038264,1325,4,32,14,,
MLP,20000,iid,0.009928161956737317,0.11636363636363636,0.511409363038571,0.034262948207171316,0.9347826086956522,0.06610299769408147,0.014538523921161872,0.52893210000002,0.005750600000283157,0.004182254545660478,0.4473451761703798,0.04466713916720243,117,1212,3,43,,
XGB,20000,iid,0.8739299608182304,0.9716363636363636,0.7020070664442045,0.6129032258064516,0.41304347826086957,0.4935064935064935,0.489392695052243,0.6830697000004875,0.005133600000590377,0.0037335272731566374,0.8698024012824287,0.4851002646357369,1317,12,27,19,,
LGBM,20000,iid,0.9330227774306078,0.9709090909090909,0.6281774462655805,0.6666666666666666,0.2608695652173913,0.375,0.40556161172112987,2.7565833999997267,0.00837619999947492,0.0060917818177999425,0.8771142081329538,0.45553677844636986,1323,6,34,12,,
HQD-Net(tau=0.80),20000,iid,0.8739299608182304,0.968,0.6371658978637093,0.5416666666666666,0.2826086956521739,0.37142857142857144,0.3766901440975967,1.0824468000000707,0.009385899999870162,0.006826109090814663,0.850565969836752,0.3919952926469163,1318,11,33,13,0.2000363702491362,0.17472033181486546
LR,25000,iid,0.7989191180131178,0.936,0.6730788104818922,0.23076923076923078,0.391304347826087,0.2903225806451613,0.26909028233109983,0.10245860000031826,0.003938500000003842,0.00286436363636643,0.8127555860895737,0.20726504367702853,1269,60,28,18,,
RF,25000,iid,0.48694815059781843,0.9672727272727273,0.7312297575817057,0.5116279069767442,0.4782608695652174,0.4943820224719101,0.4777809015937304,0.7203614999998535,0.0749746999999843,0.05452705454544312,0.8635129387901986,0.4058728054757833,1308,21,24,22,,
HGB,25000,iid,0.51473448231697,0.9738181818181818,0.6506690221480682,0.7777777777777778,0.30434782608695654,0.4375,0.4767263917257947,4.440423600000031,0.03832899999997608,0.027875636363618967,0.8758301436189355,0.4868299315038264,1325,4,32,14,,
MLP,25000,iid,0.009928161956737317,0.11636363636363636,0.511409363038571,0.034262948207171316,0.9347826086956522,0.06610299769408147,0.014538523921161872,0.5009413999996468,0.005839000000378292,0.004246545454820575,0.4473451761703798,0.04466713916720243,117,1212,3,43,,
XGB,25000,iid,0.8739299608182304,0.9716363636363636,0.7020070664442045,0.6129032258064516,0.41304347826086957,0.4935064935064935,0.489392695052243,0.7050510999997641,0.0058288999998694635,0.004239199999905065,0.8698024012824287,0.4851002646357369,1317,12,27,19,,
LGBM,25000,iid,0.9330227774306078,0.9709090909090909,0.6281774462655805,0.6666666666666666,0.2608695652173913,0.375,0.40556161172112987,2.6128799999996772,0.007939799999803654,0.0057743999998572035,0.8771142081329538,0.45553677844636986,1323,6,34,12,,
HQD-Net(tau=0.80),25000,iid,0.8739299608182304,0.968,0.6371658978637093,0.5416666666666666,0.2826086956521739,0.37142857142857144,0.3766901440975967,1.0775999999996202,0.011002499999449356,0.008001818181417713,0.850565969836752,0.3919952926469163,1318,11,33,13,0.2000363702491362,0.17472033181486546
