model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,tau_threshold,tau_quantile
HQD-Net(tau=0.50),25000,iid,0.8739299608182304,0.9665454545454546,0.5,0.0,0.0,0.0,0.0,0.7034074000002875,0.006990199999563629,0.0050837818178644575,0.86914810089312,0.4682696185648377,1329,0,46,0,1.0,0.0,0.5
HQD-Net(tau=0.60),25000,iid,0.8739299608182304,0.9665454545454546,0.5,0.0,0.0,0.0,0.0,0.711268399999426,0.006948500000362401,0.00505345454571811,0.86914810089312,0.4682696185648377,1329,0,46,0,1.0,0.0,0.6
HQD-Net(tau=0.70),25000,iid,0.8739299608182304,0.9658181818181818,0.5730771747309189,0.4666666666666667,0.15217391304347827,0.22950819672131148,0.25301022149017216,0.6920466999999917,0.006970700000238139,0.005069600000173193,0.8430905878888998,0.31421133966547116,1321,8,39,7,0.30260047281323876,0.05114017909382376,0.7
HQD-Net(tau=0.80),25000,iid,0.8739299608182304,0.968,0.6371658978637093,0.5416666666666666,0.2826086956521739,0.37142857142857144,0.3766901440975967,0.7361702999996851,0.005949499999587715,0.004326909090609248,0.850565969836752,0.3919952926469163,1318,11,33,13,0.2000363702491362,0.17472033181486546,0.8
HQD-Net(tau=0.90),25000,iid,0.8739299608182304,0.9694545454545455,0.6589050282984918,0.5769230769230769,0.32608695652173914,0.4166666666666667,0.4195815598190865,0.6683551000005536,0.006047300000318501,0.004398036363868,0.8641427029149082,0.4114986426169213,1318,11,31,15,0.1000181851245681,0.22785288226909037,0.9
HQD-Net(tau=0.95),25000,iid,0.8739299608182304,0.9694545454545455,0.6589050282984918,0.5769230769230769,0.32608695652173914,0.4166666666666667,0.4195815598190865,0.6384596999996575,0.005917599999520462,0.0043037090905603355,0.8725177478980599,0.4135253999428486,1318,11,31,15,0.050190943807965085,0.3204673748645189,0.95
