feature,importance
dag_complexity,3.856259675847376
total_seq_no_mean,3.6077994484664586
seq_no_mean,3.4820558748497623
plan_cpu_max,3.461412820627809
plan_cpu_mean,2.5250815701067846
local_arrival_density_200,1.4170201875213324
prev_arrival_gap_200,1.2001284800397332
sin_hour,1.1323974505714618
critical_path_proxy,1.0798785582369073
cpu_mem_ratio,1.064926816486072
cx_dag,1.0498589626958565
fan_in_mean,0.9553464222103516
dag_depth,0.8787182369893467
fan_in_max,0.8787182369893467
root_task_ratio,0.8492986134456033
dependency_density,0.80881438613869
max_instances_per_task,0.7808632239359715
unique_machines,0.616957324777108
parallelism_proxy,0.6154203055403246
total_instances,0.5979807218413442
plan_mem_mean,0.5431123294201003
cos_hour,0.4830627018610885
machine_net_in_mean,0.47926218169106605
prev_failure_rate_200,0.47562225486237364
complexity_score,0.4593256895477873
plan_cpu_sum,0.4509051942820001
submit_hour,0.4475699599779913
machine_net_out_mean,0.3243053795705684
cx_resource,0.2501234431414117
mean_instances_per_task,0.2436572173791612
plan_mem_sum,0.1998559145771819
cx_pressure,0.196322903463663
cx_parallel,0.16817657762539212
machine_cpu_mean,0.15984654371095786
task_count,0.15458264521890494
unique_task_count,0.15458264521890255
machine_cpu_max,0.13592274291121523
resource_product_sum,0.1323115283537931
machine_disk_mean,0.10921465077867287
first_start_time,0.10063779495722544
plan_mem_max,0.099915117936707
submit_day,0.0720085244704097
machine_pressure,0.06428724871005725
cx_repetition,0.050094654999142715
machine_mem_max,0.02574459143351308
machine_mem_mean,0.02221664759375069
instance_count,0.004041423318224416
