feature,importance
unique_machines,0.13346318901016557
instance_count,0.1290660516641693
first_start_time,0.08093601627783181
prev_failure_rate_200,0.0794986247755787
prev_arrival_gap_200,0.07175147913251961
local_arrival_density_200,0.06967264235562237
submit_hour,0.06430196313265356
sin_hour,0.0638230850075888
cos_hour,0.034301808561805626
submit_day,0.030612474594155545
total_seq_no_mean,0.019920191944970946
dag_complexity,0.017402532611539755
seq_no_mean,0.016759725388982412
complexity_score,0.010543914452546425
critical_path_proxy,0.010054083462436641
root_task_ratio,0.009324592158208031
plan_mem_sum,0.0091298916933052
dependency_density,0.008706276281238776
fan_in_mean,0.00843928615286289
resource_product_sum,0.008242785729353089
cpu_mem_ratio,0.008006000138064873
cx_resource,0.007923811844428433
machine_net_in_mean,0.006832644291083829
cx_dag,0.0066004629427899985
total_instances,0.00635709128374309
cx_parallel,0.006262641210878658
cx_repetition,0.00607949904044458
parallelism_proxy,0.005668917873562758
machine_net_out_mean,0.005497334410701292
plan_mem_mean,0.005475513118235899
plan_cpu_sum,0.004997436962819445
max_instances_per_task,0.004709582784045943
cx_pressure,0.004209363910279448
plan_mem_max,0.00416504983572857
machine_mem_mean,0.00396243612081962
machine_cpu_mean,0.003909219255769633
mean_instances_per_task,0.0037995815501602566
dag_depth,0.003699456531588888
machine_disk_mean,0.0036848947290850195
machine_mem_max,0.0032162576647980883
fan_in_max,0.0031286015457412312
machine_cpu_max,0.0030904310458788604
unique_task_count,0.003003673132847427
plan_cpu_mean,0.0029260298848710078
machine_pressure,0.002855654850183739
task_count,0.0025461941298992544
plan_cpu_max,0.001441605524015222
