feature,importance
cx_retry,0.49421397
cpu_max_max,0.16533469
mem_max_max,0.11645612
unique_machines,0.041737746
mem_max_mean,0.039238025
mem_spike_mean,0.037047878
cpu_spike_mean,0.025415193
inst_duration_mean,0.01414739
mem_avg_max,0.011852055
mean_instances_per_task,0.011499628
runtime_span,0.0104299905
instance_count,0.008727647
complexity_score,0.005722682
cpu_max_mean,0.0051473025
cpu_avg_mean,0.003735114
mem_avg_mean,0.003665724
cpu_avg_max,0.002840756
cx_span,0.0022363104
cos_hour,0.00031161285
local_arrival_density_200,0.00014845707
first_start_time,9.168677e-05
fan_in_max,0.0
inst_duration_max,0.0
dependency_density,0.0
dag_depth,0.0
dag_complexity,0.0
cx_parallel,0.0
cx_pressure,0.0
fan_in_mean,0.0
cpu_mem_ratio,0.0
critical_path_proxy,0.0
cx_dag,0.0
machine_mem_mean,0.0
machine_mem_max,0.0
machine_disk_mean,0.0
machine_cpu_std,0.0
machine_cpu_mean,0.0
machine_cpu_max,0.0
job_span,0.0
inst_duration_std,0.0
max_instances_per_task,0.0
machine_net_in_mean,0.0
machine_net_out_mean,0.0
parallelism_proxy,0.0
plan_cpu_max,0.0
plan_cpu_mean,0.0
machine_pressure,0.0
machine_mem_std,0.0
plan_mem_max,0.0
plan_cpu_sum,0.0
prev_failure_rate_200,0.0
plan_mem_mean,0.0
prev_runtime_mean_200,0.0
resource_product_sum,0.0
root_task_ratio,0.0
plan_mem_sum,0.0
sin_hour,0.0
submit_day,0.0
task_count,0.0
submit_hour,0.0
task_duration_max,0.0
task_duration_mean,0.0
total_instances,0.0
unique_task_count,0.0
