model,sample_size,route,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,split,quantum_route_train_ratio,tau_threshold
RF,25000,iid,0.9992727272727273,0.984375,1.0,0.96875,0.9841269841269841,0.9838847513144249,0.7318264999994426,0.06863120000070921,0.04991360000051579,1.0,1.0,1343,0,1,31,iid,,
XGB,25000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.26305500000034954,0.006011899999975867,0.004372290909073357,1.0,1.0,1343,0,0,32,iid,,
HQD-Net(tau=0.80),25000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.42535099999986414,0.010394599999926868,0.007559709090855904,1.0,1.0,1343,0,3,29,iid,0.21258410620112747,0.001014132768313413
RF,25000,temporal,0.9985454545454545,0.9743589743589743,1.0,0.9487179487179487,0.9736842105263158,0.9732932935103437,0.7104355000001306,0.06591740000021673,0.047939927272884895,1.0,1.0,1336,0,2,37,temporal,,
XGB,25000,temporal,1.0,1.0,1.0,1.0,1.0,1.0,0.2727434999997058,0.0056953000002977205,0.004142036363852888,1.0,1.0,1336,0,0,39,temporal,,
HQD-Net(tau=0.80),25000,temporal,1.0,1.0,1.0,1.0,1.0,1.0,0.48789399999986927,0.010353300000133459,0.007529672727369788,1.0,1.0,1336,0,0,39,temporal,0.21076559374431714,0.001014132768313413
