model,sample_size,route,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,feature_set
XGB,25000,iid,0.9912727272727273,0.8735107967237528,0.8571428571428571,0.75,0.8,0.7974130479847761,0.35350110000035784,0.003184299999702489,0.0023158545452381736,0.9300190804169769,0.7090359059256035,1339,4,8,24,resource
XGB,25000,iid,0.9781818181818182,0.5465026991809382,0.75,0.09375,0.16666666666666666,0.2603589010192939,0.3559547000004386,0.0028533999993669568,0.002075199999539605,0.6327601451973194,0.13233886756102498,1342,1,29,3,dag
XGB,25000,iid,0.9752727272727273,0.4992553983618764,0.0,0.0,0.0,-0.005891375604324007,0.3774167999999918,0.002814800000123796,0.0020471272728173062,0.8066711653015636,0.08071171242852937,1341,2,32,0,runtime
XGB,25000,iid,0.9767272727272728,0.5,0.0,0.0,0.0,0.0,0.36475380000047153,0.0035136000005877577,0.0025553454549729145,0.7002978406552495,0.044824197068318854,1343,0,32,0,pressure
XGB,25000,iid,0.976,0.4996276991809382,0.0,0.0,0.0,-0.004164315414027558,0.3742972000000009,0.0031919000002744724,0.0023213818183814346,0.7780854430379747,0.06963379401355449,1342,1,32,0,temporal
XGB,25000,iid,0.9781818181818182,0.5465026991809382,0.75,0.09375,0.16666666666666666,0.2603589010192939,0.42770569999993313,0.003409299999475479,0.0024794909087094393,0.7600986597170514,0.1429919652134948,1342,1,29,3,dag+pressure
XGB,25000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.16139660000044387,0.003351700000166602,0.002437600000121165,1.0,1.0,1343,0,0,32,all
XGB,25000,iid,0.9934545454545455,0.8746276991809382,0.96,0.75,0.8421052631578947,0.8454851568402066,0.45332609999968554,0.003678799999761395,0.0026754909089173784,0.9637239389426656,0.8334149678532577,1342,1,8,24,no_complexity
