feature,importance
plan_mem_sum,0.077449369350998
prev_failure_rate_200,0.05715158176903161
complexity_score,0.05514352679095895
plan_mem_mean,0.05478230404072911
fan_in_mean,0.049918295948646184
root_task_ratio,0.04920649589463106
resource_product_sum,0.04729057496675112
fan_in_max,0.04673191239766841
cx_dag,0.044057159248841654
total_instances,0.039443806900885156
dependency_density,0.03869821985774557
dag_complexity,0.03850798586779569
cx_resource,0.03618361502649009
plan_cpu_sum,0.03279112877471089
first_start_time,0.02842130383992975
cpu_mem_ratio,0.027392215929125097
critical_path_proxy,0.026497356337209718
max_instances_per_task,0.02547631002152797
plan_mem_max,0.022781231733938173
parallelism_proxy,0.021567302961647054
prev_arrival_gap_200,0.021481735193014575
mean_instances_per_task,0.020604311117447767
cx_parallel,0.020381898267620886
local_arrival_density_200,0.01980279210841586
submit_day,0.017523464469553995
plan_cpu_mean,0.014136376935541343
submit_hour,0.014049682204283901
cos_hour,0.011469045915342488
sin_hour,0.010746247715542303
dag_depth,0.010386989095844372
plan_cpu_max,0.007709775524968509
unique_task_count,0.006799184094281831
task_count,0.005383605818583796
instance_count,2.6760532632577276e-05
unique_machines,6.433347664594125e-06
cx_repetition,0.0
cx_pressure,0.0
machine_mem_mean,0.0
machine_net_in_mean,0.0
machine_pressure,0.0
machine_net_out_mean,0.0
machine_cpu_max,0.0
machine_cpu_mean,0.0
machine_disk_mean,0.0
machine_mem_max,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
