feature,importance
first_start_time,1600
prev_failure_rate_200,1529
local_arrival_density_200,1178
cpu_mem_ratio,788
complexity_score,786
prev_arrival_gap_200,770
total_instances,658
max_instances_per_task,614
cx_parallel,511
sin_hour,466
cos_hour,457
cx_dag,414
plan_cpu_sum,408
plan_mem_mean,403
submit_hour,359
critical_path_proxy,358
root_task_ratio,306
cx_resource,291
plan_mem_sum,276
dependency_density,213
fan_in_mean,194
mean_instances_per_task,147
fan_in_max,124
resource_product_sum,123
dag_complexity,111
plan_mem_max,89
plan_cpu_max,87
dag_depth,78
parallelism_proxy,56
task_count,32
submit_day,27
plan_cpu_mean,8
unique_task_count,3
cx_repetition,0
cx_pressure,0
machine_pressure,0
machine_mem_max,0
machine_mem_mean,0
machine_net_in_mean,0
instance_count,0
machine_net_out_mean,0
machine_cpu_max,0
machine_cpu_mean,0
machine_disk_mean,0
seq_no_mean,0
total_seq_no_mean,0
unique_machines,0
