feature,importance
first_start_time,1378
local_arrival_density_200,1161
prev_failure_rate_200,1098
complexity_score,915
cpu_mem_ratio,781
total_instances,764
max_instances_per_task,632
plan_mem_mean,629
cos_hour,526
prev_arrival_gap_200,501
cx_dag,480
cx_resource,453
sin_hour,452
critical_path_proxy,385
cx_parallel,383
root_task_ratio,373
submit_hour,349
plan_mem_sum,320
plan_cpu_sum,318
dependency_density,272
mean_instances_per_task,231
fan_in_mean,225
plan_mem_max,198
dag_depth,114
resource_product_sum,98
dag_complexity,98
fan_in_max,86
plan_cpu_max,86
submit_day,86
parallelism_proxy,58
task_count,45
plan_cpu_mean,3
unique_task_count,2
cx_repetition,0
cx_pressure,0
machine_pressure,0
machine_mem_max,0
machine_mem_mean,0
machine_net_in_mean,0
instance_count,0
machine_net_out_mean,0
machine_cpu_max,0
machine_cpu_mean,0
machine_disk_mean,0
seq_no_mean,0
total_seq_no_mean,0
unique_machines,0
