feature,importance
plan_mem_sum,0.324522
complexity_score,0.100566596
fan_in_mean,0.07180566
prev_failure_rate_200,0.041526426
total_instances,0.04070891
plan_cpu_sum,0.03746831
plan_cpu_max,0.029198557
mean_instances_per_task,0.02802601
submit_day,0.02407772
critical_path_proxy,0.023705004
cpu_mem_ratio,0.02263296
plan_mem_mean,0.0215233
plan_cpu_mean,0.016332999
dag_complexity,0.015707025
cx_resource,0.015037599
dependency_density,0.014664025
cx_parallel,0.014100267
resource_product_sum,0.012575431
cos_hour,0.012487844
submit_hour,0.011956372
root_task_ratio,0.0109798
plan_mem_max,0.01082779
task_count,0.010652436
dag_depth,0.010582129
cx_dag,0.010276797
max_instances_per_task,0.009841157
sin_hour,0.009525215
prev_arrival_gap_200,0.009011985
first_start_time,0.008877891
local_arrival_density_200,0.0088536525
unique_task_count,0.008541125
fan_in_max,0.0085284095
parallelism_proxy,0.0048785224
cx_repetition,0.0
cx_pressure,0.0
machine_pressure,0.0
machine_mem_max,0.0
machine_mem_mean,0.0
machine_net_in_mean,0.0
instance_count,0.0
machine_net_out_mean,0.0
machine_cpu_max,0.0
machine_cpu_mean,0.0
machine_disk_mean,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
unique_machines,0.0
