feature,importance
prev_failure_rate_200,0.0803786153394894
plan_mem_sum,0.07563085595872215
plan_mem_mean,0.05105236135607887
complexity_score,0.05028974419702467
cx_dag,0.049849961823997875
root_task_ratio,0.04610316738611837
fan_in_mean,0.04279176133698639
total_instances,0.042752930206386416
fan_in_max,0.0427249484665519
resource_product_sum,0.042563999503158485
dag_complexity,0.04079925584636412
plan_cpu_sum,0.03521076870469749
cpu_mem_ratio,0.029958210012931676
cx_resource,0.029900968055855858
critical_path_proxy,0.028714246779457653
first_start_time,0.028207030328852682
dependency_density,0.027983490204715137
max_instances_per_task,0.02687731181475309
parallelism_proxy,0.02464323803487273
prev_arrival_gap_200,0.02456466895894809
plan_mem_max,0.022076757821923317
local_arrival_density_200,0.022014395007195528
cx_parallel,0.02153211498558272
mean_instances_per_task,0.020368214978446385
submit_day,0.016618540531816422
cos_hour,0.012941698367837234
submit_hour,0.012783049960153522
sin_hour,0.011547689228737388
plan_cpu_mean,0.01143673931278749
dag_depth,0.009473860962393976
plan_cpu_max,0.006713359952122483
task_count,0.0060590003715453354
unique_task_count,0.005434446503023486
unique_machines,1.3154180372725598e-06
instance_count,1.2822824342913368e-06
cx_repetition,0.0
cx_pressure,0.0
machine_mem_mean,0.0
machine_net_in_mean,0.0
machine_pressure,0.0
machine_net_out_mean,0.0
machine_cpu_max,0.0
machine_cpu_mean,0.0
machine_disk_mean,0.0
machine_mem_max,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
