threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,routing_quantile,tau,route_ratio_test,sample_size
0.9139665997473213,0.9757,0.7396015650223453,0.8239130434782609,0.48341836734693877,0.6093247588424437,0.6203945542057122,0.9547071079160223,0.7230879806529718,19135,81,405,379,0.3,0.06262176159234216,0.7645,100000
0.9139665997473213,0.9758,0.740877075226427,0.8246753246753247,0.48596938775510207,0.6115569823434992,0.6223775961489839,0.9557891276827133,0.7318470166289996,19135,81,403,381,0.4,0.10024460853827971,0.66065,100000
0.9139665997473213,0.9761,0.7447036058386718,0.8269230769230769,0.49362244897959184,0.6182108626198083,0.6282950044249256,0.9562817151735797,0.7353615113690625,19135,81,397,387,0.5,0.150902269033943,0.54925,100000
0.9139665997473213,0.9762,0.7459791160427535,0.8276595744680851,0.4961734693877551,0.620414673046252,0.6302570435451391,0.956683730554045,0.7373003177262123,19135,81,395,389,0.6,0.23088574715633364,0.44395,100000
0.9909483913029709,0.9679,0.5923964298458767,0.9797297297297297,0.18494897959183673,0.3111587982832618,0.4184482170092539,0.9532936320604428,0.6934697899718126,19213,3,639,145,0.7,0.32457813081459896,0.31115,100000
0.9909483913029709,0.96795,0.5930341849479176,0.9798657718120806,0.18622448979591838,0.3129689174705252,0.41993082035895163,0.9496709467769204,0.6302752998098998,19213,3,638,146,0.8,0.4044236215024817,0.19825,100000
