feature,importance
first_start_time,1615
prev_failure_rate_200,1308
local_arrival_density_200,1077
cpu_mem_ratio,781
complexity_score,588
prev_arrival_gap_200,558
cos_hour,542
plan_mem_mean,487
total_instances,435
sin_hour,428
cx_parallel,415
critical_path_proxy,387
cx_dag,369
max_instances_per_task,364
submit_hour,335
plan_mem_sum,278
fan_in_mean,271
dependency_density,255
root_task_ratio,237
plan_cpu_sum,205
cx_resource,188
dag_depth,123
dag_complexity,117
plan_mem_max,117
mean_instances_per_task,108
fan_in_max,100
resource_product_sum,93
plan_cpu_max,85
submit_day,51
plan_cpu_mean,13
parallelism_proxy,11
task_count,8
unique_task_count,1
cx_repetition,0
cx_pressure,0
machine_pressure,0
machine_mem_max,0
machine_mem_mean,0
machine_net_in_mean,0
instance_count,0
machine_net_out_mean,0
machine_cpu_max,0
machine_cpu_mean,0
machine_disk_mean,0
seq_no_mean,0
total_seq_no_mean,0
unique_machines,0
