threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,route,train_time_sec,inference_time_sec,latency_ms_per_sample,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_raw,train_rows_used,val_rows,test_rows,quantum_route_test_ratio,tau_threshold,fusion_a_backbone,fusion_b_aux,fusion_c_rf,fusion_d_struct,fusion_e_max,backbone,aux_model
0.5462055749164116,0.787,0.8360419548178883,0.13278008298755187,0.8888888888888888,0.23104693140794225,0.29274120500577455,0.920412632549562,0.3440997001819587,755,209,4,32,LR,5000,grouped_temporal,0.0,0.0,0.0,0.03257142857142857,0.5,0.018,0.036,3500,228,500,1000,,,,,,,,,
0.8270436773174746,0.978,0.8014061779621946,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.6583023696038589,0.9705797602581835,0.6484385742149932,956,8,14,22,RF,5000,grouped_temporal,0.2716805934906006,0.07826948165893555,0.07826948165893555,0.03257142857142857,0.5,0.018,0.036,3500,228,500,1000,,,,,,,,,
0.9752255105445783,0.975,0.813220378054403,0.6571428571428571,0.6388888888888888,0.647887323943662,0.634997614193352,0.955826417704011,0.6888018966439097,952,12,13,23,HGB,5000,grouped_temporal,1.9904935359954834,0.026050329208374023,0.026050329208374023,0.03257142857142857,0.5,0.018,0.036,3500,228,500,1000,,,,,,,,,
0.9118611216545105,0.966,0.915514061779622,0.5166666666666667,0.8611111111111112,0.6458333333333334,0.6518774180367438,0.9657388197325957,0.6528779053850512,935,29,5,31,XGB,5000,grouped_temporal,0.41816210746765137,0.0,0.0,0.03257142857142857,0.5,0.018,0.036,3500,228,500,1000,,,,,,,,,
0.9584273122364787,0.963,0.8604771784232366,0.4909090909090909,0.75,0.5934065934065934,0.5891152823823907,0.9644853619179345,0.6384293239206849,936,28,9,27,LGBM,5000,grouped_temporal,0.4584364891052246,0.005000114440917969,0.005000114440917969,0.03257142857142857,0.5,0.018,0.036,3500,228,500,1000,,,,,,,,,
0.854939630879345,0.966,0.8887736284001844,0.5178571428571429,0.8055555555555556,0.6304347826086957,0.6299941985862786,0.9655227063162747,0.6544329185169447,937,27,7,29,HQD-Net-v7-Proposed,5000,proposed_backbone_hard_structural_routing,0.0048902034759521484,0.0029981136322021484,0.0029981136322021484,0.03257142857142857,0.5,0.018,0.036,3500,228,500,1000,0.348,0.28422780090015276,0.5,0.2,0.1,0.2,0.0,LGBM,XGB
0.8581262229473509,0.9465,0.7385416666666667,0.3761467889908257,0.5125,0.43386243386243384,0.4118421945491276,0.9035677083333332,0.32536754803518325,1852,68,39,41,LR,10000,grouped_temporal,0.015836238861083984,0.0,0.0,0.028,0.5,0.01,0.04,7000,392,1000,2000,,,,,,,,,
0.9252104750811047,0.965,0.5625,1.0,0.125,0.2222222222222222,0.3472794481039396,0.95408203125,0.5619460496240148,1920,0,70,10,RF,10000,grouped_temporal,0.28101444244384766,0.06352424621582031,0.031762123107910156,0.028,0.5,0.01,0.04,7000,392,1000,2000,,,,,,,,,
0.974273717831965,0.9645,0.6700520833333333,0.5957446808510638,0.35,0.4409448818897638,0.43995424232616775,0.9469628906249999,0.5372191010722586,1901,19,52,28,HGB,10000,grouped_temporal,0.9897785186767578,0.03132343292236328,0.01566171646118164,0.028,0.5,0.01,0.04,7000,392,1000,2000,,,,,,,,,
0.9744343161582947,0.963,0.5494791666666666,0.8,0.1,0.17777777777777778,0.2749295630822855,0.9437467447916665,0.4695298587420564,1918,2,72,8,XGB,10000,grouped_temporal,0.33963513374328613,0.0,0.0,0.028,0.5,0.01,0.04,7000,392,1000,2000,,,,,,,,,
0.9408654604655162,0.962,0.75859375,0.524390243902439,0.5375,0.5308641975308642,0.5111076720392742,0.9530045572916668,0.5099820414430637,1881,39,37,43,LGBM,10000,grouped_temporal,0.7252957820892334,0.011618375778198242,0.005809187889099121,0.028,0.5,0.01,0.04,7000,392,1000,2000,,,,,,,,,
0.9640027462691012,0.97,0.625,1.0,0.25,0.4,0.4923659639173309,0.9640885416666667,0.7334907381386814,1920,0,60,20,HQD-Net-v7-Proposed,10000,proposed_backbone_hard_structural_routing,0.011744022369384766,0.0,0.0,0.028,0.5,0.01,0.04,7000,392,1000,2000,0.4655,0.19402161187589442,0.5,0.2,0.1,0.2,0.0,LGBM,XGB
0.7023937115378373,0.91,0.8251082251082251,0.2558139534883721,0.7333333333333333,0.3793103448275862,0.3988096066737486,0.9142805194805194,0.42681281639819435,3530,320,40,110,LR,20000,grouped_temporal,0.010195255279541016,0.005007028579711914,0.0012517571449279785,0.024785714285714286,0.5,0.0185,0.0375,14000,694,2000,4000,,,,,,,,,
0.8797307091179452,0.9675,0.5826839826839827,0.8333333333333334,0.16666666666666666,0.2777777777777778,0.36414260652869285,0.949509090909091,0.4685309922026519,3845,5,125,25,RF,20000,grouped_temporal,0.29151248931884766,0.07786083221435547,0.019465208053588867,0.024785714285714286,0.5,0.0185,0.0375,14000,694,2000,4000,,,,,,,,,
0.9940666697162617,0.96975,0.7055844155844155,0.6494845360824743,0.42,0.5101214574898786,0.5078214449269314,0.9412943722943723,0.44559225032914,3816,34,87,63,HGB,20000,grouped_temporal,1.6711997985839844,0.0310516357421875,0.007762908935546875,0.024785714285714286,0.5,0.0185,0.0375,14000,694,2000,4000,,,,,,,,,
0.9567641615867615,0.96875,0.7787445887445887,0.5850340136054422,0.5733333333333334,0.5791245791245792,0.5629298305990708,0.9568268398268398,0.5549035954853,3789,61,64,86,XGB,20000,grouped_temporal,0.3608522415161133,0.015692949295043945,0.003923237323760986,0.024785714285714286,0.5,0.0185,0.0375,14000,694,2000,4000,,,,,,,,,
0.9767290804074783,0.95425,0.5758008658008658,0.30120481927710846,0.16666666666666666,0.2145922746781116,0.20205254458349223,0.931874458874459,0.3029957754178489,3792,58,125,25,LGBM,20000,grouped_temporal,1.2015964984893799,0.015651226043701172,0.003912806510925293,0.024785714285714286,0.5,0.0185,0.0375,14000,694,2000,4000,,,,,,,,,
0.987787280642465,0.9675,0.5666666666666667,1.0,0.13333333333333333,0.23529411764705882,0.3591353845774757,0.955395670995671,0.6841464802444798,3850,0,130,20,HQD-Net-v7-Proposed,20000,proposed_backbone_hard_structural_routing,0.0,0.0,0.0,0.024785714285714286,0.5,0.0185,0.0375,14000,694,2000,4000,0.459,0.18581963527194198,0.55,0.25,0.0,0.2,0.0,LGBM,XGB
0.8534736253529593,0.933,0.8094558277631804,0.34558823529411764,0.6746411483253588,0.45705024311183146,0.4524638314458677,0.9275225976936421,0.41717033191200686,4524,267,68,141,LR,25000,grouped_temporal,0.015793323516845703,0.0,0.0,0.028457142857142858,0.5,0.0176,0.0418,17500,996,2500,5000,,,,,,,,,
0.8660591662474809,0.9782,0.9268489861872191,0.6893939393939394,0.8708133971291866,0.7695560253699789,0.7639811938463319,0.9724238729116296,0.7902055427232794,4709,82,27,182,RF,25000,grouped_temporal,0.45847105979919434,0.14949393272399902,0.029898786544799806,0.028457142857142858,0.5,0.0176,0.0418,17500,996,2500,5000,,,,,,,,,
0.9783008594448874,0.9812,0.8689268854381071,0.7918781725888325,0.7464114832535885,0.7684729064039408,0.7590442998347378,0.9696260632226094,0.8507192569673184,4750,41,53,156,HGB,25000,grouped_temporal,3.034064531326294,0.06244063377380371,0.012488126754760742,0.028457142857142858,0.5,0.0176,0.0418,17500,996,2500,5000,,,,,,,,,
0.9437577724456787,0.9838,0.8496917565730802,0.8855421686746988,0.7033492822966507,0.784,0.7812575938346837,0.9734010839702433,0.8392177026947135,4772,19,62,147,XGB,25000,grouped_temporal,0.5671765804290771,0.01302194595336914,0.002604389190673828,0.028457142857142858,0.5,0.0176,0.0418,17500,996,2500,5000,,,,,,,,,
0.9832399239742297,0.9776,0.8052728451172904,0.8012422360248447,0.6172248803827751,0.6972972972972973,0.6921713980308609,0.9692650394130143,0.7726447063105902,4759,32,80,129,LGBM,25000,grouped_temporal,2.1759378910064697,0.028918027877807617,0.005783605575561524,0.028457142857142858,0.5,0.0176,0.0418,17500,996,2500,5000,,,,,,,,,
0.9648734393671023,0.9812,0.8506230282257703,0.8176795580110497,0.7081339712918661,0.7589743589743589,0.751344150929613,0.9709977539625235,0.7914735375415767,4758,33,61,148,HQD-Net-v7-Proposed,25000,proposed_backbone_hard_structural_routing,0.01589655876159668,0.006000041961669922,0.0012000083923339843,0.028457142857142858,0.5,0.0176,0.0418,17500,996,2500,5000,0.4584,0.14142207823306222,0.6,0.2,0.0,0.2,0.0,LGBM,XGB
0.6841142802729792,0.8728,0.8331186482702734,0.21626984126984128,0.7898550724637681,0.3395638629283489,0.37048381754763865,0.9176496319612638,0.4090150048349744,8401,1185,87,327,LR,50000,grouped_temporal,0.0289614200592041,0.01593184471130371,0.0015931844711303711,0.027571428571428573,0.5,0.0172,0.0414,35000,1930,5000,10000,,,,,,,,,
0.9547653687132137,0.9648,0.5748792270531401,1.0,0.1497584541062802,0.2605042016806723,0.38007113720481905,0.9544438044208996,0.5006503427834358,9586,0,352,62,RF,50000,grouped_temporal,0.6181201934814453,0.18800091743469238,0.01880009174346924,0.027571428571428573,0.5,0.0172,0.0414,35000,1930,5000,10000,,,,,,,,,
0.9967509462616486,0.9661,0.5917352802144028,0.987012987012987,0.18357487922705315,0.3095723014256619,0.41813682014239356,0.9527342612162866,0.535839098500071,9585,1,338,76,HGB,50000,grouped_temporal,3.477571964263916,0.09438896179199219,0.009438896179199218,0.027571428571428573,0.5,0.0172,0.0414,35000,1930,5000,10000,,,,,,,,,
0.9504995346069336,0.9646,0.5967307395749236,0.7941176470588235,0.1956521739130435,0.313953488372093,0.38356553426601786,0.9645804922839366,0.6167730588824335,9565,21,333,81,XGB,50000,grouped_temporal,0.6215648651123047,0.016199827194213867,0.0016199827194213867,0.027571428571428573,0.5,0.0172,0.0414,35000,1930,5000,10000,,,,,,,,,
0.9936537902163153,0.9655,0.5914223238196605,0.9156626506024096,0.18357487922705315,0.3058350100603622,0.40148741084179884,0.9516609618898736,0.5171442507552313,9579,7,338,76,LGBM,50000,grouped_temporal,2.5828285217285156,0.05120992660522461,0.005120992660522461,0.027571428571428573,0.5,0.0172,0.0414,35000,1930,5000,10000,,,,,,,,,
0.9211268229445139,0.9698,0.7311780162495427,0.7014388489208633,0.47101449275362317,0.5635838150289018,0.5602672088219414,0.9665960624945196,0.69891209919099,9503,83,219,195,HQD-Net-v7-Proposed,50000,proposed_backbone_hard_structural_routing,0.031702280044555664,0.0,0.0,0.027571428571428573,0.5,0.0172,0.0414,35000,1930,5000,10000,0.4637,0.1454632439615536,0.55,0.25,0.0,0.2,0.0,LGBM,XGB
0.8199100774809034,0.9282,0.7980785569848255,0.30618311533888226,0.6568877551020408,0.41768045417680455,0.4168676884041157,0.9149619816182094,0.3691762830845441,18049,1167,269,515,LR,100000,grouped_temporal,0.04500889778137207,0.0464169979095459,0.002320849895477295,0.027114285714285716,0.5,0.0198,0.0392,70000,3796,10000,20000,,,,,,,,,
0.8955489995749716,0.96795,0.5911989795918368,1.0,0.18239795918367346,0.30852211434735705,0.42013093878528446,0.9182607778488164,0.3735147900586405,19216,0,641,143,RF,100000,grouped_temporal,0.6689858436584473,0.22757744789123535,0.011378872394561767,0.027114285714285716,0.5,0.0198,0.0392,70000,3796,10000,20000,,,,,,,,,
0.9986582375385874,0.96785,0.5917586747438359,0.9795918367346939,0.1836734693877551,0.30934479054779807,0.41696050099972287,0.9424475139764482,0.5190244297954713,19213,3,640,144,HGB,100000,grouped_temporal,3.6485278606414795,0.1387183666229248,0.00693591833114624,0.027114285714285716,0.5,0.0198,0.0392,70000,3796,10000,20000,,,,,,,,,
0.9870350956916809,0.9676,0.5867346938775511,1.0,0.17346938775510204,0.2956521739130435,0.40964679804597204,0.9525087512107258,0.6013663777718342,19216,0,648,136,XGB,100000,grouped_temporal,0.6442239284515381,0.03640627861022949,0.0018203139305114746,0.027114285714285716,0.5,0.0198,0.0392,70000,3796,10000,20000,,,,,,,,,
0.9965630085553481,0.968,0.5924484698125712,0.9931506849315068,0.18494897959183673,0.3118279569892473,0.4215206085689248,0.9431348862661217,0.5669596164004458,19215,1,639,145,LGBM,100000,grouped_temporal,2.679717540740967,0.08943915367126465,0.004471957683563232,0.027114285714285716,0.5,0.0198,0.0392,70000,3796,10000,20000,,,,,,,,,
0.9139665997473213,0.9762,0.7459791160427535,0.8276595744680851,0.4961734693877551,0.620414673046252,0.6302570435451391,0.956683730554045,0.7373003177262123,19135,81,395,389,HQD-Net-v7-Proposed,100000,proposed_backbone_hard_structural_routing,0.027799367904663086,0.007000923156738281,0.0003500461578369141,0.027114285714285716,0.5,0.0198,0.0392,70000,3796,10000,20000,0.44395,0.23088574715633364,0.6,0.2,0.0,0.2,0.0,LGBM,XGB
