threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,feature_group,model,sample_size,n_features
0.9980201537681715,0.9681,0.5931122448979592,1.0,0.18622448979591838,0.3139784946236559,0.42454710406974705,0.9051033949175007,0.36020204007774886,19216,0,638,146,resource,LGBM,100000,8
0.9069440917717977,0.8984,0.8125456677258747,0.23737373737373738,0.7193877551020408,0.3569620253164557,0.37493634827688765,0.8827983947794356,0.20277918371259288,17404,1812,220,564,dag,LGBM,100000,13
0.5,0.0392,0.5,0.0392,1.0,0.07544264819091609,0.0,0.5,0.0392,0,19216,0,784,scheduling,LGBM,100000,4
0.5,0.0392,0.5,0.0392,1.0,0.07544264819091609,0.0,0.5,0.0392,0,19216,0,784,pressure,LGBM,100000,8
0.696496040355313,0.8559,0.6962214736019303,0.1405071967100754,0.5229591836734694,0.2215018908698001,0.21575161355536251,0.7541200519550035,0.14708183216276252,16708,2508,374,410,temporal,LGBM,100000,8
0.839444685870099,0.9136,0.8210674777821203,0.27242044358727097,0.7206632653061225,0.39538138558432473,0.4087612949519461,0.9077166774286733,0.29870547663534247,17707,1509,219,565,complexity,LGBM,100000,6
0.9959781139341698,0.9678,0.5898974494044079,0.9929577464788732,0.1798469387755102,0.3045356371490281,0.41558031377386917,0.9404916011210895,0.5532414507688262,19215,1,643,141,no_complexity,LGBM,100000,41
0.9965630085553481,0.968,0.5924484698125712,0.9931506849315068,0.18494897959183673,0.3118279569892473,0.4215206085689248,0.9431348862661217,0.5669596164004458,19215,1,639,145,all,LGBM,100000,47
