threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,noise_sigma,model,sample_size
0.9965630085553481,0.968,0.5924484698125712,0.9931506849315068,0.18494897959183673,0.3118279569892473,0.4215206085689248,0.9431348862661217,0.5669596164004458,19215,1,639,145,0.0,LGBM,100000
0.9965630085553481,0.96605,0.5675760208329793,0.9906542056074766,0.13520408163265307,0.23793490460157127,0.35955895283881373,0.7806623267281517,0.330589067805172,19215,1,678,106,0.01,LGBM,100000
0.9965630085553481,0.9644,0.5459183673469388,1.0,0.09183673469387756,0.16822429906542055,0.29758281976368217,0.7083903294873319,0.2777296390937847,19216,0,712,72,0.03,LGBM,100000
0.9965630085553481,0.96355,0.5350765306122449,1.0,0.07015306122448979,0.13110846245530394,0.25997871217495133,0.6794936776750666,0.2522835324422326,19216,0,729,55,0.05,LGBM,100000
0.9965630085553481,0.96305,0.5286989795918368,1.0,0.05739795918367347,0.10856453558504221,0.23510066335075788,0.6408869256486941,0.21000723750119318,19216,0,739,45,0.1,LGBM,100000
