model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,feature_set
XGB,25000,iid,0.4945885241031647,0.5924,0.5924,0.5514247551202137,0.9908,0.7085240274599542,0.3058371553823329,0.5035622999994303,0.0035913000001528417,0.0007182600000305684,0.67012384,0.6415326549169791,485,2015,23,2477,resource
XGB,25000,iid,0.4947713017463684,0.609,0.609,0.5616934570975776,0.9924,0.7173630186497036,0.33962411932816716,0.529119100000571,0.0035872999997081934,0.0007174599999416386,0.6975579999999999,0.6611694699802954,564,1936,19,2481,dag
XGB,25000,iid,0.4969877302646637,0.7876,0.7876,0.7246875,0.9276,0.8136842105263158,0.5991666666666666,0.5121668000001591,0.004643299999770534,0.0009286599999541068,0.86120512,0.830304790463127,1619,881,181,2319,scheduling
XGB,25000,iid,0.49932628870010376,0.5514,0.5514,0.5270925574530888,1.0,0.6903216899074969,0.23277696386493557,0.5107729999999719,0.003340100000059465,0.000668020000011893,0.6000282400000001,0.5783557242251739,257,2243,0,2500,pressure
XGB,25000,iid,0.5795988440513611,0.9472,0.9472,0.9215686274509803,0.9776,0.9487577639751553,0.8960577348632008,0.5388105000001815,0.00348169999961101,0.000696339999922202,0.9752985600000001,0.9650824533671463,2292,208,56,2444,temporal
XGB,25000,iid,0.49407437443733215,0.648,0.648,0.5868544600938967,1.0,0.7396449704142012,0.41678402103222895,0.5086875999995755,0.00319009999930131,0.0006380199998602621,0.75562584,0.7177128788752213,740,1760,0,2500,complexity
XGB,25000,iid,0.49359768629074097,0.6488,0.6488,0.5881934566145093,0.9924,0.7386126823459362,0.4096531241811705,0.5285093000002234,0.00418219999937719,0.000836439999875438,0.7565524,0.7152956789543805,763,1737,19,2481,dag+pressure
XGB,25000,iid,0.5062083601951599,0.9748,0.9748,0.9575944487278335,0.9936,0.9752650176678446,0.950271965830811,0.63831780000055,0.007135200000448094,0.001427040000089619,0.99124784,0.9893326362199196,2390,110,16,2484,all
XGB,25000,iid,0.47414863109588623,0.972,0.972,0.9524539877300614,0.9936,0.9725920125293657,0.9448821001301034,0.6217265000004772,0.0072016000003714,0.0014403200000742801,0.99042736,0.988307896853536,2376,124,16,2484,no_complexity
