model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,split,quantum_route_train_ratio,tau_threshold,uncertainty_threshold
RF,25000,iid,0.9360559132547946,0.9924,0.9924,0.9987844408427877,0.986,0.9923510466988728,0.9848806847306751,0.8904295000002094,0.06780650000018795,0.01356130000003759,0.9998880000000001,0.9998795396562673,2497,3,35,2465,iid,,,
XGB,25000,iid,0.5062083601951599,0.9748,0.9748,0.9575944487278335,0.9936,0.9752650176678446,0.950271965830811,0.68560830000024,0.008728800000426418,0.0017457600000852836,0.99124784,0.9893326362199196,2390,110,16,2484,iid,,,
HQD-Net(tau=0.80),25000,iid,0.48978982255805187,0.99,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9801960588196068,5.848381800000425,0.08317689999967115,0.01663537999993423,0.99943888,0.9993359572026737,2450,50,0,2500,iid,0.30005,0.17724586952493512,0.0016674947579086762
RF,25000,temporal,0.5697650973093954,0.5026,0.5276183264923717,0.967948717948718,0.057349031522977593,0.1082825385442811,0.15863081193397957,0.8753833999999188,0.06280509999942296,0.012561019999884591,0.6048887804219013,0.6691106320301041,2362,5,2482,151,temporal,,,
XGB,25000,temporal,0.5306956768035889,0.6358,0.6474531678537865,0.7811634349030471,0.42840865932396505,0.5533480500367918,0.3248958684792411,0.596473400000832,0.007282200000190642,0.0014564400000381284,0.7258857910011229,0.7499430376160047,2051,316,1505,1128,temporal,,,
HQD-Net(tau=0.80),25000,temporal,0.6764875168781268,0.5032,0.5282733804522912,0.9933774834437086,0.0569692366122294,0.10775862068965517,0.16497484372975346,5.09482509999998,0.08072660000016185,0.01614532000003237,0.6897873838452542,0.734843091336517,2366,1,2483,150,temporal,0.30195,0.17718573080495453,0.0012717041257492422
