model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,tau_threshold,uncertainty_threshold,tau_quantile
HQD-Net(tau=0.50),25000,iid,0.4897898225580519,0.9954,0.9954000000000001,0.9908838684106223,1.0,0.9954210631096954,0.9908419333179458,4.590025399999831,0.08158459999958723,0.016316919999917447,0.9994399999999999,0.999333049318252,2477,23,0,2500,0.30015,0.0,0.0016674947579086762,0.5
HQD-Net(tau=0.60),25000,iid,0.4897898225580519,0.9954,0.9954000000000001,0.9908838684106223,1.0,0.9954210631096954,0.9908419333179458,4.652665600000546,0.16712860000006913,0.03342572000001383,0.9994399999999999,0.999333049318252,2477,23,0,2500,0.30015,0.0,0.0016674947579086762,0.6
HQD-Net(tau=0.70),25000,iid,0.4897898225580519,0.9898,0.9898,0.9800078400627205,1.0,0.9899029895070283,0.9798038988111044,5.653131700000813,0.08502550000048359,0.01700510000009672,0.9994392,0.9993339051395809,2449,51,0,2500,0.30005,0.05134064149375908,0.0016674947579086762,0.7
HQD-Net(tau=0.80),25000,iid,0.48978982255805187,0.99,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9801960588196068,5.558964699999706,0.07697219999954541,0.015394439999909082,0.99943888,0.9993359572026737,2450,50,0,2500,0.30005,0.17724586952493512,0.0016674947579086762,0.8
HQD-Net(tau=0.90),25000,iid,0.48978982255805187,0.99,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9801960588196068,6.277635999999802,0.08948270000018965,0.01789654000003793,0.9994472,0.9993478373007543,2450,50,0,2500,0.30005,0.24999999953245833,0.0016674947579086762,0.9
HQD-Net(tau=0.95),25000,iid,0.48978982255805187,0.99,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9801960588196068,5.940249500000391,0.089037400000052,0.017807480000010402,0.99945376,0.9993576662908134,2450,50,0,2500,0.30005,0.42114826853210985,0.0016674947579086762,0.95
