feature,importance
local_arrival_density_200,1353
instance_count,1121
first_start_time,1096
prev_arrival_gap_200,1008
prev_failure_rate_200,787
unique_machines,593
cos_hour,396
sin_hour,272
submit_hour,271
complexity_score,241
total_seq_no_mean,167
cpu_mem_ratio,161
critical_path_proxy,149
machine_net_in_mean,131
machine_disk_mean,116
machine_net_out_mean,100
machine_pressure,84
plan_mem_mean,82
machine_cpu_max,75
mean_instances_per_task,73
machine_cpu_mean,65
plan_cpu_sum,65
machine_mem_max,56
cx_dag,56
plan_mem_sum,51
cx_parallel,50
machine_mem_mean,47
max_instances_per_task,46
dag_complexity,45
root_task_ratio,44
cx_resource,32
dependency_density,29
fan_in_mean,22
plan_cpu_max,18
cx_pressure,18
task_count,15
plan_cpu_mean,14
dag_depth,14
cx_repetition,12
seq_no_mean,12
total_instances,5
submit_day,3
parallelism_proxy,2
plan_mem_max,2
resource_product_sum,1
fan_in_max,0
unique_task_count,0
