feature,importance
complexity_score,1005
first_start_time,971
prev_failure_rate_200,715
total_instances,696
prev_arrival_gap_200,535
local_arrival_density_200,534
bottleneck_task_ratio,494
plan_mem_mean,432
cpu_mem_ratio,421
cx_resource,387
max_instances_per_task,386
plan_mem_sum,368
cx_parallel,314
cos_hour,297
sin_hour,287
cx_dag,228
submit_hour,227
dependency_skew,218
plan_cpu_sum,164
fan_in_mean,158
cx_repetition,152
mean_instances_per_task,152
plan_mem_max,151
dag_complexity,147
plan_cpu_max,141
root_task_ratio,137
dependency_density,127
critical_path_proxy,107
fan_out_mean,84
task_count,83
dag_depth,80
resource_product_sum,64
fan_in_max,57
fan_out_max,43
parallelism_proxy,32
instance_count,26
deep_chain_ratio,24
cx_pressure,19
plan_cpu_mean,16
submit_day,14
retry_task_ratio,6
unique_machines,1
machine_mem_mean,0
machine_net_in_mean,0
machine_net_out_mean,0
machine_pressure,0
machine_cpu_max,0
machine_cpu_mean,0
machine_disk_mean,0
machine_mem_max,0
seq_no_mean,0
total_seq_no_mean,0
unique_task_count,0
