threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,ablation,feature_block,sample_size,model,train_time_sec,n_features
0.5392769575119019,0.7954,0.8242970264053787,0.664319884466107,0.9517651622914781,0.7824792685519881,0.6354173938862855,0.9299466878337018,0.8610117498838232,8548,3719,373,7360,feature_block,resource,100000,XGB_or_RF,0.5915418999975373,8
0.4450266361236572,0.753,0.7907842689477628,0.6162297128589264,0.9574550627182206,0.7498480858821146,0.5782887499913328,0.9111781009105023,0.8304475147272409,7656,4611,329,7404,feature_block,dag,100000,XGB_or_RF,0.5985585999987961,19
0.4237748682498932,0.3875,0.5005973231636436,0.3869336670838548,0.9994827363248416,0.5578894182185651,0.01646528080293614,0.5020481978044631,0.3882910463727557,21,12246,4,7729,feature_block,scheduling,100000,XGB_or_RF,0.5375803000024462,4
0.1706368625164032,0.3869,0.5001321042175195,0.38671269198058933,0.9996120522436311,0.5576798210807301,0.00548779639183041,0.5005671209864746,0.38703988414440404,8,12259,3,7730,feature_block,pressure,100000,XGB_or_RF,0.5500971999972535,8
0.3876217007637024,0.44645,0.5468846159080549,0.4104997854997855,0.989913358334411,0.5803419127402297,0.1818859152682978,0.8176776368458802,0.7530003918156394,1274,10993,78,7655,feature_block,temporal,100000,XGB_or_RF,0.5771335999997973,8
0.592703640460968,0.8505,0.8686646255476622,0.738797704158695,0.9487908961593172,0.8307291666666666,0.7181497105879081,0.9572467573008177,0.9231236656999585,9673,2594,396,7337,feature_block,complexity,100000,XGB_or_RF,0.5785821999998007,6
0.41123953461647034,0.86725,0.8826059241744456,0.763929313929314,0.9503426871847924,0.8470005186423097,0.7458279608064561,0.9728147093478986,0.9666722694579544,9996,2271,384,7349,feature_block,all,100000,XGB_or_RF,0.702884999998787,53
0.40360358357429504,0.8725,0.8863838370344915,0.7735669798374327,0.9476270528902108,0.8517958851563409,0.7536957290282884,0.9725051765635617,0.9664742825539855,10122,2145,405,7328,feature_block,no_complexity,100000,XGB_or_RF,0.6958040999998047,47
