feature,importance
plan_mem_sum,0.37843484
total_instances,0.081721224
cx_repetition,0.06699332
fan_in_mean,0.050787624
prev_failure_rate_200,0.047224592
plan_cpu_sum,0.046552345
mean_instances_per_task,0.037018586
dag_complexity,0.026222158
cx_resource,0.02221849
complexity_score,0.019472796
resource_product_sum,0.018201478
retry_task_ratio,0.016761828
plan_mem_mean,0.016612884
parallelism_proxy,0.016316226
plan_mem_max,0.013824567
plan_cpu_mean,0.010355852
plan_cpu_max,0.01029965
bottleneck_task_ratio,0.008542547
cpu_mem_ratio,0.007167724
cx_dag,0.007143845
task_count,0.0070560877
max_instances_per_task,0.006495047
prev_arrival_gap_200,0.006196108
first_start_time,0.0057907603
cx_parallel,0.0056422125
cos_hour,0.0056360397
root_task_ratio,0.0054520606
submit_hour,0.0043281945
instance_count,0.004104108
sin_hour,0.004053643
dag_depth,0.0040517817
unique_machines,0.00395488
unique_task_count,0.003628129
dependency_skew,0.0032070822
dependency_density,0.0031665454
fan_out_max,0.0030421643
fan_in_max,0.0030184446
critical_path_proxy,0.0029257834
submit_day,0.0028569768
cx_pressure,0.0027481525
deep_chain_ratio,0.0024101385
fan_out_mean,0.0021495703
total_seq_no_mean,0.0015752534
local_arrival_density_200,0.0012240409
machine_disk_mean,0.0011813984
machine_cpu_mean,0.00072654383
machine_mem_mean,0.0005494677
machine_net_out_mean,0.00052599586
machine_net_in_mean,0.00026111756
machine_cpu_max,0.00016968748
machine_mem_max,0.0
machine_pressure,0.0
seq_no_mean,0.0
