feature,importance
plan_mem_sum,0.0859355282689313
total_instances,0.05193823766711985
prev_failure_rate_200,0.050975497599938795
plan_mem_mean,0.045136076371430106
root_task_ratio,0.044950515840841206
retry_task_ratio,0.043345290266491344
cx_repetition,0.04216701339949485
resource_product_sum,0.03802840682730754
dependency_density,0.03445623325027762
complexity_score,0.03421905323164893
cx_dag,0.033740471862740984
parallelism_proxy,0.03283402153995388
cx_parallel,0.03223500952325295
first_start_time,0.031555529770591985
mean_instances_per_task,0.030984199601219696
cx_resource,0.029676157565086122
max_instances_per_task,0.027805225839270507
fan_in_mean,0.025257728864946795
plan_mem_max,0.024614419387795766
cpu_mem_ratio,0.02307773887918111
local_arrival_density_200,0.02236855272215136
plan_cpu_sum,0.021392158846346043
prev_arrival_gap_200,0.020822227068947756
dag_complexity,0.02023677384611269
fan_in_max,0.020157762816735283
submit_day,0.016713217839256455
bottleneck_task_ratio,0.015695500862081588
cos_hour,0.012034554800734945
submit_hour,0.011422397185958217
sin_hour,0.009187200966486314
deep_chain_ratio,0.00898816404404332
plan_cpu_mean,0.008702513296708968
plan_cpu_max,0.008218191831687443
fan_out_max,0.007963054145945007
critical_path_proxy,0.00717904575254778
fan_out_mean,0.006237763414554785
dag_depth,0.006033636759064938
task_count,0.00523726832770187
unique_task_count,0.004429638513613111
dependency_skew,0.003483205904067865
machine_cpu_max,0.00010772772556454441
cx_pressure,9.844965327841568e-05
unique_machines,9.468605427101362e-05
instance_count,5.790444814747488e-05
machine_disk_mean,3.829307514384965e-05
machine_pressure,3.0100452807175486e-05
machine_mem_mean,2.9311308484704416e-05
total_seq_no_mean,2.4648651335798876e-05
machine_net_out_mean,2.451442721277159e-05
machine_cpu_mean,2.3129750648775054e-05
seq_no_mean,2.0991363334832438e-05
machine_net_in_mean,1.505858750384063e-05
machine_mem_max,0.0
