threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,route,train_time_sec,inference_time_sec,latency_ms_per_sample,ram_delta_mb,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_raw,train_rows_used,val_rows,test_rows,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold
0.3679558913722756,0.748,0.7781841109709962,0.6197916666666666,0.9153846153846154,0.7391304347826086,0.5491176047705226,0.9141151744430434,0.890893454272045,391,219,33,357,LR,5000,grouped_temporal,0.01646959999925457,0.0001534000002720859,0.0001534000002720859,0.70703125,0.31971428571428573,0.5,0.314,0.39,3500,2238,500,1000,,,,
0.40238846874851203,0.875,0.8855191256830601,0.7861771058315334,0.9333333333333333,0.8534583821805393,0.754215592509479,0.9613472047078606,0.9492427317937164,511,99,26,364,RF,5000,grouped_temporal,0.575550800000201,0.046554299999115756,0.046554299999115756,11.73828125,0.31971428571428573,0.5,0.314,0.39,3500,2238,500,1000,,,,
0.2740003672277435,0.845,0.8595418242959227,0.7412731006160165,0.9256410256410257,0.8232611174458381,0.7017032228439469,0.9553005464480875,0.9453159415007595,484,126,29,361,HGB,5000,grouped_temporal,4.415220400001999,0.019719699997949647,0.019719699997949647,5.6484375,0.31971428571428573,0.5,0.314,0.39,3500,2238,500,1000,,,,
0.37763068079948425,0.852,0.866204287515763,0.75,0.9307692307692308,0.8306636155606407,0.7148305580808509,0.9569356872635562,0.9474264728712762,489,121,27,363,XGB,5000,grouped_temporal,0.5470556000000215,0.0008686000001034699,0.0008686000001034699,108.859375,0.31971428571428573,0.5,0.314,0.39,3500,2238,500,1000,,,,
0.26081099493511956,0.852,0.864354770912148,0.7542016806722689,0.9205128205128205,0.8290993071593533,0.7116763886519963,0.9517044976881042,0.9413807450893473,493,117,31,359,LGBM,5000,grouped_temporal,1.5147429999997257,0.0014286000005085953,0.0014286000005085953,5.6953125,0.31971428571428573,0.5,0.314,0.39,3500,2238,500,1000,,,,
0.5901637693410977,0.855,0.8645018915510718,0.7645788336933045,0.9076923076923077,0.8300117233294255,0.7130982402492446,0.9533039092055486,0.9377033336331889,501,109,36,354,HQD-Net-v6,5000,grouped_temporal_hard_quantum_inspired,8.344573200000013,1.6999983927235007e-06,1.6999983927235007e-06,11.7109375,0.31971428571428573,0.5,0.314,0.39,3500,2238,500,1000,0.6523681858802503,0.685,0.5219750972504283,0.28782170905619264
0.3113809037099196,0.7245,0.7673807822521649,0.583947583947584,0.9431216931216931,0.7212948912493677,0.5317465885148372,0.9142295717858417,0.8692593518179211,736,508,43,713,LR,10000,grouped_temporal,0.023944600001414074,0.0002227000004495494,0.0001113500002247747,0.0,0.31457142857142856,0.5,0.375,0.378,7000,4404,1000,2000,,,,
0.3147151014493087,0.8445,0.8635843583592779,0.7272727272727273,0.9417989417989417,0.8207492795389049,0.705345756623846,0.9119019973119652,0.8245037887130632,977,267,44,712,RF,10000,grouped_temporal,0.5152852999999595,0.04642280000189203,0.023211400000946014,19.5390625,0.31457142857142856,0.5,0.375,0.378,7000,4404,1000,2000,,,,
0.07744229857251925,0.8095,0.8375248813351708,0.676056338028169,0.9523809523809523,0.7907742998352554,0.6560338784918032,0.9512650138654961,0.9289814314804142,899,345,36,720,HGB,10000,grouped_temporal,3.2368563000018185,0.02444159999868134,0.01222079999934067,4.54296875,0.31457142857142856,0.5,0.375,0.378,7000,4404,1000,2000,,,,
0.4044627845287323,0.869,0.8814627673148574,0.769650655021834,0.9325396825396826,0.8433014354066986,0.7424904305303678,0.9619060378706682,0.9492616473298616,1033,211,51,705,XGB,10000,grouped_temporal,0.4955804999990505,0.0008935000005294569,0.00044675000026472844,0.0,0.31457142857142856,0.5,0.375,0.378,7000,4404,1000,2000,,,,
0.12407926943199263,0.8505,0.8647752598717229,0.7433439829605963,0.9232804232804233,0.8235988200589971,0.708820013012086,0.9531109112097856,0.9322958132536044,1003,241,58,698,LGBM,10000,grouped_temporal,1.7578348999995796,0.00332900000285008,0.00166450000142504,0.125,0.31457142857142856,0.5,0.375,0.378,7000,4404,1000,2000,,,,
0.3564185144960654,0.8195,0.8450445737423229,0.6897214217098944,0.9497354497354498,0.7991096271563717,0.6697945620022335,0.9609405570016502,0.946421757883605,921,323,38,718,HQD-Net-v6,10000,grouped_temporal_hard_quantum_inspired,9.473612699999649,3.1000017770566046e-06,1.5500008885283023e-06,21.1953125,0.31457142857142856,0.5,0.375,0.378,7000,4404,1000,2000,0.6525885558583107,0.611,0.5211019388234716,0.3667614607914196
0.3256248099261404,0.75125,0.7855153859371806,0.6183206106870229,0.9388280746941404,0.7455893633341857,0.5657228857399874,0.9186122487001311,0.8795025172681876,1547,900,95,1458,LR,20000,grouped_temporal,0.09135930000047665,0.00047420000191777945,0.00011855000047944486,0.0,0.3157142857142857,0.5,0.3465,0.38825,14000,8840,2000,4000,,,,
0.3617178248416176,0.871,0.881743575520283,0.7801188546731497,0.9298132646490663,0.8484136310223267,0.7462477384737366,0.9393114714497246,0.8853422619567465,2040,407,109,1444,RF,20000,grouped_temporal,0.7759758000029251,0.3314556999976048,0.0828639249994012,17.50390625,0.3157142857142857,0.5,0.3465,0.38825,14000,8840,2000,4000,,,,
0.3880555314799803,0.8525,0.8686226560717606,0.7457886676875957,0.9407598197037991,0.8320045558086561,0.7187469452550831,0.9651700401374562,0.9557761273627372,1949,498,92,1461,HGB,20000,grouped_temporal,13.184329100000468,0.028323700000328245,0.007080925000082061,6.9140625,0.3157142857142857,0.5,0.3465,0.38825,14000,8840,2000,4000,,,,
0.5035160183906555,0.8645,0.8773719531465656,0.7670364500792393,0.9349645846748229,0.8427161926871736,0.7367069263726103,0.9652217480647685,0.9569078713822488,2006,441,101,1452,XGB,20000,grouped_temporal,0.47407169999860344,0.0010552999992796686,0.00026382499981991714,4.8984375,0.3157142857142857,0.5,0.3465,0.38825,14000,8840,2000,4000,,,,
0.23089588395163507,0.83475,0.8527035877933504,0.7223330009970089,0.9330328396651641,0.814273672379882,0.6875662399307689,0.9579389562261477,0.9449930314210536,1890,557,104,1449,LGBM,20000,grouped_temporal,2.407922000002145,0.0036785999982384965,0.0009196499995596241,4.75,0.3157142857142857,0.5,0.3465,0.38825,14000,8840,2000,4000,,,,
0.5546594455476569,0.86125,0.8733041312923482,0.7651434643995749,0.927237604636188,0.8384279475982532,0.7289919238202011,0.961892441722008,0.9478633227491535,2005,442,113,1440,HQD-Net-v6,20000,grouped_temporal_hard_quantum_inspired,12.514939600001526,8.960000195656903e-05,2.2400000489142258e-05,21.02734375,0.3157142857142857,0.5,0.3465,0.38825,14000,8840,2000,4000,0.6532805429864253,0.644,0.5244413822147062,0.4333720785864051
0.3241080730995052,0.7516,0.7855339533478627,0.6184300341296929,0.9359504132231405,0.7447595561035758,0.5647624688925648,0.9175274920160543,0.8652320660937253,1946,1118,124,1812,LR,25000,grouped_temporal,0.0970856999992975,0.0008476999973936472,0.00016953999947872945,0.0,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,
0.3178381525241406,0.8572,0.872266307748743,0.7531068765534383,0.9390495867768595,0.8358620689655173,0.7257681263454342,0.9169007118119242,0.8395787863562453,2468,596,118,1818,RF,25000,grouped_temporal,1.9301264000023366,0.34302670000033686,0.06860534000006738,8.80078125,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,
