feature,importance
plan_mem_sum,0.3538955
total_instances,0.07115422
fan_in_mean,0.056140102
dag_complexity,0.053971756
cx_repetition,0.039127033
prev_failure_rate_200,0.035709053
complexity_score,0.034391586
mean_instances_per_task,0.033421114
root_task_ratio,0.02289699
plan_cpu_sum,0.022034088
cx_resource,0.021297256
plan_mem_mean,0.019940548
resource_product_sum,0.017586965
plan_mem_max,0.016719544
machine_cpu_max,0.013467057
plan_cpu_max,0.013087078
local_arrival_density_200,0.012992069
bottleneck_task_ratio,0.011619952
cos_hour,0.01022762
fan_in_max,0.010153649
retry_task_ratio,0.009340668
cx_parallel,0.00922203
max_instances_per_task,0.008332792
plan_cpu_mean,0.007960798
cpu_mem_ratio,0.007264305
fan_out_mean,0.006871889
sin_hour,0.0068473923
cx_dag,0.0065839007
prev_arrival_gap_200,0.006540532
first_start_time,0.0064033126
submit_hour,0.006113193
dag_depth,0.005797362
dependency_density,0.005270761
dependency_skew,0.0045409114
task_count,0.0044505335
critical_path_proxy,0.0044376445
fan_out_max,0.0044083297
unique_task_count,0.0042892736
deep_chain_ratio,0.0041586943
cx_pressure,0.0041187336
submit_day,0.00398542
instance_count,0.0023648501
machine_net_in_mean,0.0004929214
machine_disk_mean,0.00037053888
machine_mem_max,0.0
machine_pressure,0.0
parallelism_proxy,0.0
machine_mem_mean,0.0
machine_net_out_mean,0.0
machine_cpu_mean,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
unique_machines,0.0
