feature,importance
prev_failure_rate_200,3.1221645787581798
plan_cpu_sum,2.4086109956104593
retry_task_ratio,1.6907411891679842
plan_cpu_mean,1.509167707435027
cx_parallel,1.395842073903369
cx_resource,1.1810886164687227
total_instances,0.9086428594607564
cpu_mem_ratio,0.8622452161146155
plan_mem_sum,0.8204690745574946
plan_cpu_max,0.7224604814755187
fan_out_mean,0.676604009919206
fan_in_mean,0.6187517128948026
cx_repetition,0.57463960458816
unique_task_count,0.5083120719350334
task_count,0.5083120719350309
bottleneck_task_ratio,0.4865618353800881
fan_out_max,0.44898399822184004
mean_instances_per_task,0.44356055969209546
local_arrival_density_200,0.4392951822688029
dag_complexity,0.4057986760312428
root_task_ratio,0.3797155648021068
dependency_density,0.35727389179057717
fan_in_max,0.34006722341662654
parallelism_proxy,0.3329865847942635
complexity_score,0.30986512326593607
plan_mem_max,0.27871857063053646
prev_arrival_gap_200,0.23863880324839387
cx_dag,0.2340364799788469
unique_machines,0.2332828338781357
instance_count,0.21532951326569807
deep_chain_ratio,0.1885581149642212
critical_path_proxy,0.16353922417737352
dependency_skew,0.15697309855279717
cx_pressure,0.15307555639080564
dag_depth,0.14781489914380763
cos_hour,0.11565481852707779
plan_mem_mean,0.10560654409263069
machine_pressure,0.09165445744823156
machine_cpu_mean,0.043965034026145725
sin_hour,0.03896479726929014
machine_net_in_mean,0.033193645793222384
submit_hour,0.02435372975046861
machine_disk_mean,0.01691823467557717
resource_product_sum,0.016799468812401935
submit_day,0.009035772658539163
machine_mem_mean,0.0081246880517553
first_start_time,0.007254626443429925
machine_cpu_max,0.005658290714199562
machine_net_out_mean,0.004048437688448608
max_instances_per_task,0.0010008819903732365
machine_mem_max,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
