threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,route,train_time_sec,inference_time_sec,latency_ms_per_sample,ram_delta_mb,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_raw,train_rows_used,val_rows,test_rows,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold,label_noise,feature_noise
0.2968490688254715,0.846,0.8644590337267763,0.733386709367494,0.9462809917355371,0.8263419034731619,0.7101267987368801,0.93039073120536,0.8658371047880955,2398,666,104,1832,RF,25000,grouped_temporal,0.8071406000017305,0.06098550000024261,0.012197100000048523,60.71875,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,,0.0,0.0
0.4117453098297119,0.8562,0.8724962507822109,0.7492830807046292,0.9447314049586777,0.8357322366917981,0.725988808478302,0.9669024481852707,0.9594663161816129,2452,612,107,1829,XGB,25000,grouped_temporal,0.3989937000005739,0.0013924999984737951,0.000278499999694759,15.421875,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,,0.0,0.0
0.44332530962624966,0.8398,0.8604461569169022,0.7224617796942375,0.9519628099173554,0.8214842879429463,0.7024539034932523,0.9632803396683426,0.9501766491140023,2356,708,93,1843,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,6.735870500000601,2.559999848017469e-05,5.119999696034938e-06,52.328125,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,0.6529209621993127,0.6222,0.5221842536053777,0.4535575701692607,0.0,0.0
0.34958453616929236,0.8612,0.8735236752247579,0.7634500426985482,0.9273858921161826,0.8374707259953161,0.7286874948384326,0.9255337326028701,0.8595769822603674,2518,554,140,1788,RF,25000,grouped_temporal,1.2345120999998471,0.0760602000009385,0.015212040000187698,16.828125,0.31605714285714287,0.5,0.3496,0.3856,17500,11062,2500,5000,,,,,0.0,0.01
0.4039681553840637,0.8534,0.8691075326331259,0.7467988434531185,0.9377593360995851,0.8314555070131064,0.7189918351436104,0.962321470057486,0.9535615966796189,2459,613,120,1808,XGB,25000,grouped_temporal,0.4593827000026067,0.0014584999989892822,0.00029169999979785646,7.66796875,0.31605714285714287,0.5,0.3496,0.3856,17500,11062,2500,5000,,,,,0.0,0.01
0.4245786328894563,0.8216,0.8457395941390041,0.6968085106382979,0.9512448132780082,0.8043859649122806,0.6740768968305825,0.9596838733467324,0.9459134029057992,2274,798,94,1834,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,6.884587800002919,2.5099998310906813e-05,5.0199996621813625e-06,31.76953125,0.31605714285714287,0.5,0.3496,0.3856,17500,11062,2500,5000,0.6459952992225637,0.6056,0.5231051175273266,0.4792843065175955,0.0,0.01
0.29596391639967357,0.8098,0.8356266284263164,0.678076923076923,0.9392647842301545,0.7875809693991512,0.6505972742884009,0.9242064521720113,0.8603371492064397,2286,837,114,1763,RF,25000,grouped_temporal,1.2555004000023473,0.058402500002557645,0.011680500000511528,44.53515625,0.31565714285714286,0.5,0.3728,0.3754,17500,11048,2500,5000,,,,,0.0,0.05
0.5944450497627258,0.8742,0.8808028187587206,0.7891566265060241,0.9072988811933937,0.8441140024783147,0.7445785512949813,0.9589390486416369,0.9486530423425914,2668,455,174,1703,XGB,25000,grouped_temporal,0.49273620000167284,0.0013772000020253472,0.00027544000040506943,10.62109375,0.31565714285714286,0.5,0.3728,0.3754,17500,11048,2500,5000,,,,,0.0,0.05
0.5219277092147607,0.8416,0.855981477586252,0.7313432835820896,0.9136920618007459,0.812411179535765,0.690831034327796,0.954007346801047,0.9396352115382097,2493,630,162,1715,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,7.443492900001729,3.939999805879779e-05,7.879999611759558e-06,47.21484375,0.31565714285714286,0.5,0.3728,0.3754,17500,11048,2500,5000,0.6504344677769732,0.6062,0.5234358572425999,0.48976000442613055,0.0,0.05
0.3580832413071836,0.8568,0.8683375477008907,0.7613781369629945,0.9203084832904884,0.8333333333333334,0.7195717493081039,0.9164373798274144,0.8452719086189552,2494,561,155,1790,RF,25000,grouped_temporal,0.9245615999971051,0.061035299997456605,0.01220705999949132,56.8046875,0.3197714285714286,0.5,0.3512,0.389,17500,11192,2500,5000,,,,,0.01,0.0
0.40981563925743103,0.8414,0.8588175648669003,0.7309542902967121,0.9372750642673522,0.8213561612975896,0.699729755553018,0.9578436462623958,0.9449815916692769,2384,671,122,1823,XGB,25000,grouped_temporal,0.3986648999998579,0.0016441000007034745,0.0003288200001406949,8.58203125,0.3197714285714286,0.5,0.3512,0.389,17500,11192,2500,5000,,,,,0.01,0.0
0.5013226622057596,0.8386,0.8547515767063981,0.7303643724696356,0.9275064267352185,0.8172140430351076,0.6918484988176092,0.9527208545980083,0.9308750028773194,2389,666,141,1804,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,6.379320000000007,2.4100001610349864e-05,4.820000322069973e-06,53.81640625,0.3197714285714286,0.5,0.3512,0.389,17500,11192,2500,5000,0.6450142959256612,0.6178,0.5211079056235954,0.4875363197288353,0.01,0.0
0.33516186555314786,0.8416,0.8583968992080788,0.7317666126418152,0.9328512396694215,0.8201634877384196,0.698372078902268,0.9407655619511037,0.9029058617925846,2402,662,130,1806,RF,25000,grouped_temporal,1.2306434999991325,0.06149830000140355,0.01229966000028071,45.05078125,0.32,0.5,0.3532,0.3872,17500,11200,2500,5000,,,,,0.01,0.01
0.39019256830215454,0.8098,0.8335913730228945,0.6857789513391173,0.9390495867768595,0.7926749509483323,0.6511716601668711,0.9517704602097403,0.9398733629223273,2231,833,118,1818,XGB,25000,grouped_temporal,0.4898064000008162,0.0014482000005955342,0.00028964000011910684,6.265625,0.32,0.5,0.3532,0.3872,17500,11200,2500,5000,,,,,0.01,0.01
0.48649456667646435,0.8234,0.8435470297563818,0.7057444314185228,0.9328512396694215,0.803559510567297,0.6695672728661095,0.9491508965755345,0.9303486147122213,2311,753,130,1806,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,6.904452499999024,3.050000304938294e-05,6.100000609876588e-06,49.62109375,0.32,0.5,0.3532,0.3872,17500,11200,2500,5000,0.6434821428571429,0.6136,0.5217637819897291,0.5087955181172583,0.01,0.01
0.2826068123045049,0.7876,0.818429754488524,0.6501831501831502,0.9431455897980872,0.7697311361665221,0.6197224805067519,0.9226855616730253,0.8616343849165164,2163,955,107,1775,RF,25000,grouped_temporal,1.3076676000018779,0.06128790000002482,0.012257580000004964,45.62109375,0.3196,0.5,0.3776,0.3764,17500,11186,2500,5000,,,,,0.01,0.05
0.6751403212547302,0.8644,0.8691601812928123,0.7813084112149533,0.8884165781083954,0.8314271506713078,0.7229409209221005,0.9467104720525091,0.9284695521340824,2650,468,210,1672,XGB,25000,grouped_temporal,0.4826968000015768,0.001443900000595022,0.0002887800001190044,7.6015625,0.3196,0.5,0.3776,0.3764,17500,11186,2500,5000,,,,,0.01,0.05
0.4958304110228681,0.7992,0.8247817512929281,0.6678134556574924,0.9282678002125399,0.7767896843041352,0.630082597116797,0.9431990996708292,0.9198894547575006,2249,869,135,1747,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,6.98180019999927,2.599999788799323e-05,5.199999577598646e-06,49.84375,0.3196,0.5,0.3776,0.3764,17500,11186,2500,5000,0.6450920793849455,0.6252,0.5219346704829565,0.5155181619768946,0.01,0.05
