feature,importance
complexity_score,875
first_start_time,851
total_instances,622
cpu_mem_ratio,571
plan_mem_mean,569
local_arrival_density_200,550
prev_failure_rate_200,529
bottleneck_task_ratio,513
prev_arrival_gap_200,503
cx_resource,450
plan_mem_sum,364
cx_parallel,354
max_instances_per_task,344
cos_hour,333
sin_hour,276
submit_hour,227
cx_dag,217
plan_mem_max,213
fan_in_mean,206
cx_repetition,189
plan_cpu_sum,183
dependency_skew,158
critical_path_proxy,139
mean_instances_per_task,133
root_task_ratio,132
dag_complexity,127
dependency_density,122
task_count,120
plan_cpu_max,90
fan_out_mean,81
dag_depth,81
fan_out_max,80
resource_product_sum,67
fan_in_max,44
machine_cpu_max,35
parallelism_proxy,30
plan_cpu_mean,28
submit_day,26
unique_machines,18
deep_chain_ratio,13
cx_pressure,12
instance_count,10
machine_pressure,8
machine_disk_mean,4
retry_task_ratio,3
machine_mem_max,0
machine_mem_mean,0
machine_net_in_mean,0
machine_cpu_mean,0
machine_net_out_mean,0
seq_no_mean,0
total_seq_no_mean,0
unique_task_count,0
