feature,importance
complexity_score,818
first_start_time,807
total_instances,708
plan_mem_mean,629
prev_failure_rate_200,587
cpu_mem_ratio,572
bottleneck_task_ratio,534
cx_resource,434
cx_parallel,402
prev_arrival_gap_200,393
sin_hour,339
max_instances_per_task,337
plan_mem_sum,308
cos_hour,300
local_arrival_density_200,284
fan_in_mean,279
cx_repetition,235
cx_dag,235
plan_cpu_sum,232
submit_hour,200
plan_mem_max,173
dependency_skew,156
root_task_ratio,153
plan_cpu_max,145
critical_path_proxy,139
dependency_density,134
mean_instances_per_task,126
dag_complexity,123
dag_depth,113
fan_out_max,111
task_count,93
fan_out_mean,92
fan_in_max,52
machine_cpu_mean,51
resource_product_sum,49
cx_pressure,32
parallelism_proxy,31
unique_machines,21
total_seq_no_mean,20
deep_chain_ratio,19
plan_cpu_mean,17
submit_day,8
instance_count,6
retry_task_ratio,2
machine_disk_mean,1
machine_pressure,0
machine_mem_mean,0
machine_net_in_mean,0
machine_cpu_max,0
machine_mem_max,0
machine_net_out_mean,0
seq_no_mean,0
unique_task_count,0
