threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,route,train_time_sec,inference_time_sec,latency_ms_per_sample,ram_delta_mb,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_raw,train_rows_used,val_rows,test_rows,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold,tau_quantile,uncertainty_quantile
0.4098229474207988,0.8688,0.8827223633185713,0.7690930159064574,0.9441355230828915,0.8476721235341925,0.746476115725245,0.9676040167989042,0.9551122294653277,10075,2192,432,7301,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,13.94956589999856,3.2599997211946175e-05,1.6299998605973088e-06,165.3671875,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.7602066134343844,0.7545,0.4388186281498804,0.16395109658288465,0.6,0.6
0.43879245822615653,0.8762,0.8885397243122076,0.7818162324434438,0.942971679813785,0.8548651817116061,0.758567737707204,0.9682863224586205,0.9554180882627846,10232,2035,441,7292,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,15.481458800000837,4.280000212020241e-05,2.1400001060101204e-06,159.68359375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.7378986782153651,0.7193,0.4388186281498804,0.3887006974825922,0.6,0.75
0.4237701067543186,0.87105,0.8849150255683831,0.7718928043891117,0.9460752618647356,0.8501539712974261,0.7508108621852816,0.9679615410008893,0.9555506946681072,10105,2162,417,7316,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,15.513288800000737,0.00011000000085914508,5.500000042957254e-06,165.73046875,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.7257635223530473,0.70055,0.4388186281498804,0.6405648671983574,0.6,0.9
0.4213207994074598,0.8743,0.8870147515550457,0.778584392014519,0.9431009957325747,0.8529824561403508,0.7553922682856321,0.9677636666670147,0.9556381281405443,10193,2074,440,7293,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,15.16365180000139,9.499999941908754e-05,4.749999970954377e-06,159.34765625,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.7427707854017233,0.7321,0.48948365121779336,0.16395109658288465,0.7,0.6
0.43679195541587135,0.86735,0.8824723599214852,0.7645833333333333,0.949178843915686,0.8469393642185427,0.7456258442331757,0.9669702454581012,0.9528829322494063,10007,2260,393,7340,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,24.78323420000015,4.86999997519888e-05,2.4349999875994397e-06,159.23828125,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.6920422249289484,0.6546,0.48948365121779336,0.3887006974825922,0.7,0.75
0.4679147232562641,0.8799,0.8917471322769234,0.7875714748085014,0.9440062071641019,0.8587225032349135,0.7651427558718462,0.9685518907822649,0.9553634397856785,10298,1969,433,7300,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,14.807484800003294,4.819999958272092e-05,2.409999979136046e-06,161.828125,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.6713583254387152,0.619,0.48948365121779336,0.6405648671983574,0.7,0.9
0.4029220144426962,0.86685,0.8813717145763329,0.7653894472361809,0.9454286822707876,0.8459357824703501,0.7436317496306797,0.9669295700303153,0.9545919781782681,10026,2241,422,7311,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,17.23731300000145,0.0001720000000204891,8.600000001024455e-06,158.9375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.7358009653990165,0.72415,0.5217473992460093,0.16395109658288465,0.8,0.6
0.4054979885521064,0.85055,0.8703782591298519,0.7355511420059583,0.9578430104745894,0.832106948267146,0.7214883285235503,0.9687936874097433,0.955306672404742,9604,2663,326,7407,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,14.889108399998804,0.00015070000154082663,7.535000077041332e-06,160.0859375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.6679523616186223,0.62625,0.5217473992460093,0.3887006974825922,0.8,0.75
0.49396830408621695,0.8846,0.89486160397849,0.7975863960504662,0.9401267296004138,0.8630104463437797,0.7721924224328771,0.9693990961126152,0.9566005819454398,10422,1845,463,7270,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,15.124164900000324,6.510000093840063e-05,3.2550000469200312e-06,160.0,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.6338701673659043,0.5681,0.5217473992460093,0.6405648671983574,0.8,0.9
0.4013232709096275,0.86745,0.882458286655684,0.7649635036496351,0.9486615802405276,0.8469664607746926,0.745628655517678,0.9673491589157497,0.9551924856936795,10013,2254,397,7336,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,11.90979900000093,3.980000110459514e-05,1.990000055229757e-06,153.40234375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.7341318175666531,0.7205,0.5667875716828947,0.16395109658288465,0.9,0.6
0.4739447045724279,0.8799,0.8922489944229914,0.7862742992159811,0.9467218414586835,0.8590706406946726,0.765893388305949,0.9696323433628912,0.9558783474519248,10277,1990,412,7321,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,11.734087000000727,6.470000153058209e-05,3.2350000765291044e-06,158.4921875,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.6505616456895384,0.6005,0.5667875716828947,0.3887006974825922,0.9,0.75
0.4368405817165507,0.86265,0.8797163611813957,0.7548037612428454,0.9549980602612181,0.843180909973169,0.739833222582757,0.9708323290977653,0.9588573844862995,9868,2399,348,7385,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,11.202908600000228,4.020000051241368e-05,2.010000025620684e-06,155.703125,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.5991338476113142,0.5135,0.5667875716828947,0.6405648671983574,0.9,0.9
