feature,importance
plan_mem_sum,0.31995976
dag_complexity,0.11308353
total_instances,0.07788587
cx_repetition,0.03805415
mean_instances_per_task,0.034115806
complexity_score,0.030338418
fan_in_mean,0.027199943
prev_failure_rate_200,0.024757152
plan_cpu_sum,0.023766767
plan_mem_mean,0.021778312
max_instances_per_task,0.019775003
local_arrival_density_200,0.017548744
fan_out_max,0.016125686
cx_resource,0.0152555
plan_mem_max,0.014134137
critical_path_proxy,0.013168207
root_task_ratio,0.013052966
cx_dag,0.011453782
bottleneck_task_ratio,0.011349059
cx_pressure,0.0108082015
submit_hour,0.009795987
first_start_time,0.009171646
retry_task_ratio,0.009165812
prev_arrival_gap_200,0.00839788
resource_product_sum,0.008274499
cos_hour,0.008186169
cpu_mem_ratio,0.007924456
plan_cpu_max,0.0070970287
sin_hour,0.006851464
deep_chain_ratio,0.0067647286
cx_parallel,0.0061682393
task_count,0.005977944
unique_machines,0.0057047936
fan_in_max,0.0055798483
dependency_skew,0.0055323485
dependency_density,0.005529026
submit_day,0.005456609
fan_out_mean,0.005387612
dag_depth,0.0051353453
unique_task_count,0.004840978
plan_cpu_mean,0.0035161849
instance_count,0.0033618615
parallelism_proxy,0.0025685418
machine_net_in_mean,0.0
machine_net_out_mean,0.0
machine_pressure,0.0
machine_cpu_max,0.0
machine_cpu_mean,0.0
machine_disk_mean,0.0
machine_mem_max,0.0
machine_mem_mean,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
