feature,importance
first_start_time,1045
complexity_score,1028
prev_failure_rate_200,878
local_arrival_density_200,709
prev_arrival_gap_200,667
total_instances,572
cpu_mem_ratio,492
bottleneck_task_ratio,456
cos_hour,408
max_instances_per_task,354
plan_mem_mean,350
plan_mem_sum,349
cx_resource,340
sin_hour,289
submit_hour,283
cx_parallel,236
cx_dag,211
mean_instances_per_task,182
plan_cpu_sum,159
critical_path_proxy,142
plan_mem_max,134
fan_in_mean,131
dag_complexity,122
cx_repetition,119
plan_cpu_max,114
dependency_skew,105
root_task_ratio,98
dependency_density,91
dag_depth,87
resource_product_sum,86
fan_in_max,81
task_count,66
fan_out_mean,49
fan_out_max,40
parallelism_proxy,11
retry_task_ratio,7
deep_chain_ratio,4
submit_day,4
plan_cpu_mean,1
instance_count,0
cx_pressure,0
machine_mem_max,0
machine_mem_mean,0
machine_net_in_mean,0
machine_net_out_mean,0
machine_pressure,0
machine_cpu_max,0
machine_cpu_mean,0
machine_disk_mean,0
seq_no_mean,0
total_seq_no_mean,0
unique_machines,0
unique_task_count,0
