feature,importance
plan_mem_sum,0.25644523
total_instances,0.07650275
fan_in_mean,0.05695456
mean_instances_per_task,0.054671
prev_failure_rate_200,0.050010126
complexity_score,0.044911914
cx_dag,0.03600468
cx_resource,0.03447426
max_instances_per_task,0.03053425
plan_mem_mean,0.028290901
plan_mem_max,0.02237572
plan_cpu_sum,0.02090382
first_start_time,0.019272536
bottleneck_task_ratio,0.016423611
cx_parallel,0.014233794
plan_cpu_max,0.014075188
plan_cpu_mean,0.013668726
local_arrival_density_200,0.012802219
prev_arrival_gap_200,0.01277547
submit_hour,0.012631849
cos_hour,0.012128835
resource_product_sum,0.011981673
cx_repetition,0.01156765
cpu_mem_ratio,0.011543521
fan_in_max,0.011349875
deep_chain_ratio,0.011273169
root_task_ratio,0.010834194
dependency_skew,0.01022199
fan_out_mean,0.009810824
task_count,0.0095754005
sin_hour,0.009175999
critical_path_proxy,0.008555819
dag_complexity,0.008417846
dag_depth,0.007393071
fan_out_max,0.0073476667
dependency_density,0.0073099104
retry_task_ratio,0.006193876
submit_day,0.004594382
unique_task_count,0.0027617253
instance_count,0.0
cx_pressure,0.0
machine_pressure,0.0
machine_mem_mean,0.0
machine_net_in_mean,0.0
machine_net_out_mean,0.0
machine_cpu_max,0.0
parallelism_proxy,0.0
machine_cpu_mean,0.0
machine_disk_mean,0.0
machine_mem_max,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
unique_machines,0.0
