feature,importance
plan_mem_sum,0.0870292360312909
total_instances,0.04868004547780184
prev_failure_rate_200,0.046715572651505076
retry_task_ratio,0.044373212081351796
plan_mem_mean,0.04252225287959933
cx_repetition,0.03980630314595191
resource_product_sum,0.039404215013662036
cx_resource,0.03661055714859682
complexity_score,0.03595622465667169
cx_dag,0.03583782995178091
mean_instances_per_task,0.03529375052746672
parallelism_proxy,0.034990880072339
root_task_ratio,0.034829023394827595
first_start_time,0.033065461841223984
dependency_density,0.032634784624555865
cx_parallel,0.030886330670556444
max_instances_per_task,0.030199199143013375
plan_cpu_sum,0.027444112292467588
fan_in_mean,0.023833668330793017
plan_mem_max,0.022662391390610947
local_arrival_density_200,0.02207449549549044
fan_in_max,0.02196378415419443
cpu_mem_ratio,0.020670538655220408
prev_arrival_gap_200,0.020045056183444994
bottleneck_task_ratio,0.01843707977279218
dag_complexity,0.016322369656761343
submit_day,0.015004270644048403
cos_hour,0.011338936799877117
submit_hour,0.011273760530593972
plan_cpu_mean,0.010182027182224763
sin_hour,0.009208201389324162
fan_out_mean,0.009145775615004442
fan_out_max,0.008142759895902057
deep_chain_ratio,0.007815825661019835
plan_cpu_max,0.00738442832159618
critical_path_proxy,0.007089788203120918
dag_depth,0.0060623870734701265
task_count,0.005389920809645111
unique_task_count,0.0051933570190683285
dependency_skew,0.0035951005757584283
unique_machines,0.0001481924219955483
cx_pressure,0.00013461874287188345
machine_cpu_max,0.00011754125450893151
instance_count,0.00011248025511778891
machine_disk_mean,7.450530459239206e-05
machine_cpu_mean,5.0285058844546325e-05
machine_net_out_mean,4.734488865560222e-05
machine_net_in_mean,4.441996158386456e-05
machine_mem_mean,4.3833203954712404e-05
machine_pressure,4.006669018497772e-05
seq_no_mean,3.798300210631319e-05
total_seq_no_mean,3.381425095892344e-05
machine_mem_max,0.0
