model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_used,val_rows,test_rows,split,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold
RF,25000,grouped_temporal,0.5621530284186681,0.9585454545454546,0.543268287212269,0.38461538461538464,0.09259259259259259,0.14925373134328357,0.173695176504854,0.3091778999987582,0.0347392999992735,0.02526494545401709,0.6666386295455182,0.13723220198789673,1313,8,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,grouped_temporal,,,,
XGB,25000,grouped_temporal,0.7123153913021086,0.9570909090909091,0.5247497686937506,0.2727272727272727,0.05555555555555555,0.09230769230769231,0.10793092549606359,0.3646148000007088,0.0031565999997837935,0.00229570909075185,0.653811646620125,0.13842571637345608,1313,8,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,grouped_temporal,,,,
HQD-Net(tau=0.80),25000,grouped_temporal,0.5318277374882595,0.9556363636363636,0.5328735245464995,0.26666666666666666,0.07407407407407407,0.11594202898550725,0.12294460338812369,2.334155999998984,0.05457150000074762,0.03968836363690736,0.6722670816160596,0.13904693719254263,1310,11,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,grouped_temporal,0.3019578313253012,0.1149090909090909,0.16616219691004502,0.0026762420344718526
RF,25000,iid,0.6479766763889562,0.9381818181818182,0.7371675336146826,0.27586206896551724,0.5217391304347826,0.3609022556390977,0.35035561439607016,0.3155210000004445,0.03709230000094976,0.026976218182508917,0.8545081296823372,0.3665586505269265,1266,63,22,24,0.03388069008522137,0.5,0.03343023255813953,0.03345454545454545,1304,688,1375,iid,,,,
XGB,25000,iid,0.9198857080936431,0.9687272727272728,0.7005021755487945,0.5428571428571428,0.41304347826086957,0.4691358024691358,0.45782981324121047,0.3654325000006793,0.003381100001206505,0.0024589818190592764,0.8574770176988256,0.4198499992735109,1313,16,27,19,0.03388069008522137,0.5,0.03343023255813953,0.03345454545454545,1304,688,1375,iid,,,,
HQD-Net(tau=0.80),25000,iid,0.8198780549063759,0.9570909090909091,0.7049759544606929,0.37735849056603776,0.43478260869565216,0.40404040404040403,0.3829311155807697,2.2449656999997387,0.05226480000055744,0.03801076363676905,0.8462639447770471,0.384363894783602,1296,33,26,20,0.03388069008522137,0.5,0.03343023255813953,0.03345454545454545,1304,688,1375,iid,0.29984662576687116,0.11054545454545454,0.18217046117292243,0.002553380307740315
