model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_used,val_rows,test_rows,feature_set
XGB,25000,grouped_temporal,0.7825037837028503,0.9381818181818182,0.5681932879131971,0.1836734693877551,0.16666666666666666,0.17475728155339806,0.14290588460743772,0.33473229999981413,0.002516600001399638,0.0018302545464724642,0.6432346426668909,0.07134548848933217,1281,40,45,9,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,resource
XGB,25000,grouped_temporal,0.09710568591575071,0.19054545454545455,0.5609667199371968,0.04471195184866724,0.9629629629629629,0.08545603944124898,0.06558632953514859,0.3395710999993753,0.002447799999572453,0.0017802181815072386,0.6069756357417221,0.06772999819741035,210,1111,2,52,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,dag
XGB,25000,grouped_temporal,0.830997426509857,0.9461818181818182,0.5190722516611994,0.11538461538461539,0.05555555555555555,0.075,0.054398585142158305,0.34093079999911424,0.0024229999999079155,0.0017621818181148476,0.6904211175596489,0.10086133660051494,1298,23,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,scheduling
XGB,25000,grouped_temporal,0.5032197833061218,0.13527272727272727,0.4877968430201587,0.03824247355573637,0.8703703703703703,0.07326578332034295,-0.015388564637315602,0.3149788999999146,0.002351900000576279,0.0017104727276918393,0.49467294698180386,0.04034716698189198,139,1182,7,47,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,pressure
XGB,25000,grouped_temporal,0.7058696150779724,0.9505454545454546,0.4947009841029523,0.0,0.0,0.0,-0.020505975131099224,0.3456432999992103,0.003003800000442425,0.0021845818185035814,0.4071270361959234,0.03113796145819247,1307,14,54,0,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,temporal
XGB,25000,grouped_temporal,0.7922166585922241,0.9432727272727273,0.5974850702329885,0.25,0.2222222222222222,0.23529411764705882,0.2063290189340084,0.3377724000001763,0.002340099999855738,0.0017018909089859915,0.6459892898197213,0.14319440936070482,1285,36,42,12,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,complexity
XGB,25000,grouped_temporal,0.6140451586246487,0.9316363636363636,0.5470252614461547,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.09405052289230942,0.3360274999995454,0.002593999999589869,0.0018865454542471773,0.5859688227212829,0.07506264869691424,1274,47,47,7,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,dag+pressure
XGB,25000,grouped_temporal,0.7123153913021086,0.9570909090909091,0.5247497686937506,0.2727272727272727,0.05555555555555555,0.09230769230769231,0.10793092549606359,0.3707596999993257,0.003368699999555247,0.0024499636360401796,0.653811646620125,0.13842571637345608,1313,8,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,all
XGB,25000,grouped_temporal,0.7436963808536529,0.9585454545454546,0.5255067709647573,0.3333333333333333,0.05555555555555555,0.09523809523809523,0.12288168628375355,0.379127399999561,0.00330970000140951,0.0024070545464796437,0.6967154512574649,0.1512751685074011,1315,6,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,no_complexity
