feature,importance
plan_mem_max,0.06018446
root_task_ratio,0.058141805
plan_cpu_mean,0.05333994
sin_hour,0.0472016
seq_no_mean,0.045630045
unique_machines,0.04414261
total_seq_no_mean,0.038075723
instance_count,0.03480222
critical_path_proxy,0.032875206
fan_in_mean,0.030560015
submit_hour,0.02984343
dag_complexity,0.029254414
prev_failure_rate_200,0.024825359
first_start_time,0.023663137
fan_in_max,0.02303307
cpu_mem_ratio,0.022798544
plan_mem_mean,0.022671921
submit_day,0.019237911
plan_cpu_max,0.019078456
mean_instances_per_task,0.01842149
plan_mem_sum,0.018019045
cos_hour,0.017476454
plan_cpu_sum,0.017363334
dag_depth,0.016993862
prev_arrival_gap_200,0.015547407
machine_net_out_mean,0.014952271
cx_parallel,0.014868812
cx_resource,0.014833796
machine_cpu_max,0.014783014
max_instances_per_task,0.0147779
local_arrival_density_200,0.014213615
machine_disk_mean,0.013912086
dependency_density,0.01318472
task_count,0.012404521
cx_dag,0.012244471
machine_cpu_mean,0.011845496
complexity_score,0.011695743
resource_product_sum,0.011646479
machine_mem_mean,0.011129491
machine_mem_max,0.011020741
machine_net_in_mean,0.010239666
cx_repetition,0.008706633
cx_pressure,0.008106163
parallelism_proxy,0.0075524715
machine_pressure,0.004700486
total_instances,0.0
unique_task_count,0.0
