model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_used,val_rows,test_rows,tau_quantile
HQD-Net(tau=0.50),25000,grouped_temporal,0.5010880508853135,0.9578181818181818,0.5428897860767656,0.35714285714285715,0.09259259259259259,0.14705882352941177,0.16597362675555047,2.526947399999699,0.31792029999996885,0.23121476363634097,0.6457860206913955,0.1310082228334424,1312,9,49,5,0.30120481927710846,0.4334545454545455,0.0,0.0026762420344718526,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.5
HQD-Net(tau=0.60),25000,grouped_temporal,0.5010880508853135,0.9578181818181818,0.5428897860767656,0.35714285714285715,0.09259259259259259,0.14705882352941177,0.16597362675555047,2.9134309999990364,0.2580536999994365,0.18767541818140837,0.6457860206913955,0.1310082228334424,1312,9,49,5,0.30120481927710846,0.4334545454545455,0.0,0.0026762420344718482,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.6
HQD-Net(tau=0.70),25000,grouped_temporal,0.5318277374882595,0.9556363636363636,0.5328735245464995,0.26666666666666666,0.07407407407407407,0.11594202898550725,0.12294460338812369,3.0208824000001187,0.26267189999998664,0.19103410909089938,0.6829912804553229,0.15254031432398238,1310,11,50,4,0.3019578313253012,0.136,0.047331393495052755,0.0026762420344718526,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.7
HQD-Net(tau=0.80),25000,grouped_temporal,0.5318277374882595,0.9556363636363636,0.5328735245464995,0.26666666666666666,0.07407407407407407,0.11594202898550725,0.12294460338812369,2.9880560000001424,0.2837868000005983,0.20639040000043513,0.6722670816160596,0.13904693719254263,1310,11,50,4,0.3019578313253012,0.1149090909090909,0.16616219691004502,0.0026762420344718482,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.8
HQD-Net(tau=0.90),25000,grouped_temporal,0.5318277374882595,0.9563636363636364,0.533252025682003,0.2857142857142857,0.07407407407407407,0.11764705882352941,0.12867770637822054,2.868423599999005,0.211301999999705,0.15367418181796727,0.6523186699189727,0.12465427591593177,1311,10,50,4,0.3019578313253012,0.064,0.24999999953245833,0.0026762420344718526,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.9
HQD-Net(tau=0.95),25000,grouped_temporal,0.5318277374882595,0.9563636363636364,0.533252025682003,0.2857142857142857,0.07407407407407407,0.11764705882352941,0.12867770637822054,2.667832699999053,0.07187940000039816,0.052275927273016845,0.6561317183951552,0.12414459270887541,1311,10,50,4,0.3019578313253012,0.03563636363636364,0.42916028287665997,0.0026762420344718526,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.95
