feature,importance
local_arrival_density_200,1551
first_start_time,1535
prev_arrival_gap_200,990
instance_count,967
prev_failure_rate_200,769
unique_machines,686
sin_hour,450
cos_hour,368
submit_hour,327
complexity_score,130
total_seq_no_mean,122
plan_cpu_sum,98
machine_net_out_mean,70
cpu_mem_ratio,69
max_instances_per_task,63
machine_disk_mean,58
critical_path_proxy,55
cx_resource,52
machine_mem_mean,50
cx_parallel,48
machine_net_in_mean,46
cx_dag,45
fan_in_mean,43
root_task_ratio,43
cx_pressure,42
mean_instances_per_task,41
machine_mem_max,34
dag_depth,31
plan_mem_sum,30
machine_cpu_mean,27
dependency_density,23
dag_complexity,22
resource_product_sum,22
plan_mem_mean,16
machine_cpu_max,13
machine_pressure,13
plan_cpu_max,11
plan_mem_max,10
submit_day,9
total_instances,6
cx_repetition,6
task_count,5
parallelism_proxy,4
fan_in_max,0
plan_cpu_mean,0
seq_no_mean,0
unique_task_count,0
